,date,rate
0,04-04-2024,16.0
1,03-04-2024,16.0
2,02-04-2024,16.0
3,01-04-2024,16.0
4,31-03-2024,16.0
5,30-03-2024,16.0
6,29-03-2024,16.0
7,28-03-2024,16.0
8,27-03-2024,16.0
9,26-03-2024,16.0
10,25-03-2024,16.0
11,24-03-2024,16.0
12,23-03-2024,16.0
13,22-03-2024,16.0
14,21-03-2024,16.0
15,20-03-2024,16.0
16,19-03-2024,16.0
17,18-03-2024,16.0
18,17-03-2024,16.0
19,16-03-2024,16.0
20,15-03-2024,16.0
21,14-03-2024,16.0
22,13-03-2024,16.0
23,12-03-2024,16.0
24,11-03-2024,16.0
25,10-03-2024,16.0
26,09-03-2024,16.0
27,08-03-2024,16.0
28,07-03-2024,16.0
29,06-03-2024,16.0
30,05-03-2024,16.0
31,04-03-2024,16.0
32,03-03-2024,16.0
33,02-03-2024,16.0
34,01-03-2024,16.0
35,29-02-2024,16.0
36,28-02-2024,16.0
37,27-02-2024,16.0
38,26-02-2024,16.0
39,25-02-2024,16.0
40,24-02-2024,16.0
41,23-02-2024,16.0
42,22-02-2024,16.0
43,21-02-2024,16.0
44,20-02-2024,16.0
45,19-02-2024,16.0
46,18-02-2024,16.0
47,17-02-2024,16.0
48,16-02-2024,16.0
49,15-02-2024,16.0
50,14-02-2024,16.0
51,13-02-2024,16.0
52,12-02-2024,16.0
53,11-02-2024,16.0
54,10-02-2024,16.0
55,09-02-2024,16.0
56,08-02-2024,16.0
57,07-02-2024,16.0
58,06-02-2024,16.0
59,05-02-2024,16.0
60,04-02-2024,16.0
61,03-02-2024,16.0
62,02-02-2024,16.0
63,01-02-2024,16.0
64,31-01-2024,16.0
65,30-01-2024,16.0
66,29-01-2024,16.0
67,28-01-2024,16.0
68,27-01-2024,16.0
69,26-01-2024,16.0
70,25-01-2024,16.0
71,24-01-2024,16.0
72,23-01-2024,16.0
73,22-01-2024,16.0
74,21-01-2024,16.0
75,20-01-2024,16.0
76,19-01-2024,16.0
77,18-01-2024,16.0
78,17-01-2024,16.0
79,16-01-2024,16.0
80,15-01-2024,16.0
81,14-01-2024,16.0
82,13-01-2024,16.0
83,12-01-2024,16.0
84,11-01-2024,16.0
85,10-01-2024,16.0
86,09-01-2024,16.0
87,08-01-2024,16.0
88,07-01-2024,16.0
89,06-01-2024,16.0
90,05-01-2024,16.0
91,04-01-2024,16.0
92,03-01-2024,16.0
93,02-01-2024,16.0
94,01-01-2024,16.0
95,31-12-2023,16.0
96,30-12-2023,16.0
97,29-12-2023,16.0
98,28-12-2023,16.0
99,27-12-2023,16.0
100,26-12-2023,16.0
101,25-12-2023,16.0
102,24-12-2023,16.0
103,23-12-2023,16.0
104,22-12-2023,16.0
105,21-12-2023,16.0
106,20-12-2023,16.0
107,19-12-2023,16.0
108,18-12-2023,16.0
109,17-12-2023,15.0
110,16-12-2023,15.0
111,15-12-2023,15.0
112,14-12-2023,15.0
113,13-12-2023,15.0
114,12-12-2023,15.0
115,11-12-2023,15.0
116,10-12-2023,15.0
117,09-12-2023,15.0
118,08-12-2023,15.0
119,07-12-2023,15.0
120,06-12-2023,15.0
121,05-12-2023,15.0
122,04-12-2023,15.0
123,03-12-2023,15.0
124,02-12-2023,15.0
125,01-12-2023,15.0
126,30-11-2023,15.0
127,29-11-2023,15.0
128,28-11-2023,15.0
129,27-11-2023,15.0
130,26-11-2023,15.0
131,25-11-2023,15.0
132,24-11-2023,15.0
133,23-11-2023,15.0
134,22-11-2023,15.0
135,21-11-2023,15.0
136,20-11-2023,15.0
137,19-11-2023,15.0
138,18-11-2023,15.0
139,17-11-2023,15.0
140,16-11-2023,15.0
141,15-11-2023,15.0
142,14-11-2023,15.0
143,13-11-2023,15.0
144,12-11-2023,15.0
145,11-11-2023,15.0
146,10-11-2023,15.0
147,09-11-2023,15.0
148,08-11-2023,15.0
149,07-11-2023,15.0
150,06-11-2023,15.0
151,05-11-2023,15.0
152,04-11-2023,15.0
153,03-11-2023,15.0
154,02-11-2023,15.0
155,01-11-2023,15.0
156,31-10-2023,15.0
157,30-10-2023,15.0
158,29-10-2023,13.0
159,28-10-2023,13.0
160,27-10-2023,13.0
161,26-10-2023,13.0
162,25-10-2023,13.0
163,24-10-2023,13.0
164,23-10-2023,13.0
165,22-10-2023,13.0
166,21-10-2023,13.0
167,20-10-2023,13.0
168,19-10-2023,13.0
169,18-10-2023,13.0
170,17-10-2023,13.0
171,16-10-2023,13.0
172,15-10-2023,13.0
173,14-10-2023,13.0
