,date,rate
0,05-04-2024,101.9053
1,04-04-2024,101.7166
2,03-04-2024,101.8329
3,02-04-2024,101.8444
4,01-04-2024,101.9267
5,31-03-2024,101.9267
6,30-03-2024,101.9267
7,29-03-2024,101.8128
8,28-03-2024,102.2776
9,27-03-2024,102.7464
10,26-03-2024,103.3256
11,25-03-2024,102.8334
12,24-03-2024,102.8334
13,23-03-2024,102.8334
14,22-03-2024,102.8177
15,21-03-2024,104.0015
16,20-03-2024,103.8562
17,19-03-2024,104.0531
18,18-03-2024,104.0548
19,17-03-2024,104.0548
20,16-03-2024,104.0548
21,15-03-2024,104.1554
22,14-03-2024,104.1703
23,13-03-2024,103.7345
24,12-03-2024,103.3826
25,11-03-2024,103.0305
26,10-03-2024,103.0305
27,09-03-2024,103.0305
28,08-03-2024,103.0305
29,07-03-2024,102.1382
30,06-03-2024,102.9131
31,05-03-2024,103.5049
32,04-03-2024,103.1785
33,03-03-2024,103.1785
34,02-03-2024,103.1785
35,01-03-2024,103.4533
36,29-02-2024,104.231
37,28-02-2024,104.6532
38,27-02-2024,105.2638
39,26-02-2024,105.7363
40,25-02-2024,105.7363
41,24-02-2024,105.7363
42,23-02-2024,105.7363
43,22-02-2024,104.9605
44,21-02-2024,104.7397
45,20-02-2024,104.8805
46,19-02-2024,105.0263
47,18-02-2024,105.0263
48,17-02-2024,105.0263
49,16-02-2024,103.9788
50,15-02-2024,103.0447
51,14-02-2024,103.6546
52,13-02-2024,104.0272
53,12-02-2024,103.7914
54,11-02-2024,103.7914
55,10-02-2024,103.7914
56,09-02-2024,104.5556
57,08-02-2024,104.6274
58,07-02-2024,103.936
59,06-02-2024,104.8413
60,05-02-2024,105.8648
61,04-02-2024,105.8648
62,03-02-2024,105.8648
63,02-02-2024,104.5659
64,01-02-2024,103.9145
65,31-01-2024,103.4512
66,30-01-2024,103.9668
67,29-01-2024,103.4866
68,28-01-2024,103.4866
69,27-01-2024,103.4866
70,26-01-2024,102.6708
71,25-01-2024,102.0494
72,24-01-2024,101.2785
73,23-01-2024,101.3857
74,22-01-2024,102.003
75,21-01-2024,102.003
76,20-01-2024,102.003
77,19-01-2024,102.5813
78,18-01-2024,102.5107
79,17-01-2024,101.8426
80,16-01-2024,102.6785
81,15-01-2024,103.2237
82,14-01-2024,103.2237
83,13-01-2024,103.2237
84,12-01-2024,104.3387
85,11-01-2024,104.9101
86,10-01-2024,106.3952
87,09-01-2024,106.7591
88,08-01-2024,106.7591
89,07-01-2024,106.7591
90,06-01-2024,106.7591
91,05-01-2024,106.7591
92,04-01-2024,106.7591
93,03-01-2024,106.7591
94,02-01-2024,106.7591
95,01-01-2024,106.7591
96,31-12-2023,106.7591
97,30-12-2023,106.7591
98,29-12-2023,108.1486
99,28-12-2023,107.6477
100,27-12-2023,107.1843
101,26-12-2023,107.4906
102,25-12-2023,107.4555
103,24-12-2023,107.4555
104,23-12-2023,107.4555
105,22-12-2023,106.3877
106,21-12-2023,104.9398
107,20-12-2023,103.9905
108,19-12-2023,104.0822
109,18-12-2023,103.4921
110,17-12-2023,103.4921
111,16-12-2023,103.4921
