,date,rate
0,05-04-2024,100.0668
1,04-04-2024,99.4277
2,03-04-2024,99.4116
3,02-04-2024,99.5661
4,01-04-2024,99.5299
5,31-03-2024,99.5299
6,30-03-2024,99.5299
7,29-03-2024,99.7057
8,28-03-2024,100.2704
9,27-03-2024,100.4121
10,26-03-2024,100.3651
11,25-03-2024,100.217
12,24-03-2024,100.217
13,23-03-2024,100.217
14,22-03-2024,100.365
15,21-03-2024,100.6139
16,20-03-2024,100.1047
17,19-03-2024,100.2432
18,18-03-2024,99.9718
19,17-03-2024,99.9718
20,16-03-2024,99.9718
21,15-03-2024,100.2625
22,14-03-2024,100.1869
23,13-03-2024,99.3561
24,12-03-2024,99.1317
25,11-03-2024,98.8767
26,10-03-2024,98.8767
27,09-03-2024,98.8767
28,08-03-2024,98.8767
29,07-03-2024,98.2017
30,06-03-2024,98.9366
31,05-03-2024,99.1061
32,04-03-2024,98.7225
33,03-03-2024,98.7225
34,02-03-2024,98.7225
35,01-03-2024,98.5447
36,29-02-2024,99.45
37,28-02-2024,99.9214
38,27-02-2024,100.1776
39,26-02-2024,100.4425
40,25-02-2024,100.4425
41,24-02-2024,100.4425
42,23-02-2024,100.4425
43,22-02-2024,99.8968
44,21-02-2024,99.5589
45,20-02-2024,99.4889
46,19-02-2024,99.3523
47,18-02-2024,99.3523
48,17-02-2024,99.3523
49,16-02-2024,98.4099
50,15-02-2024,97.8133
51,14-02-2024,98.1917
52,13-02-2024,98.1512
53,12-02-2024,97.9364
54,11-02-2024,97.9364
55,10-02-2024,97.9364
56,09-02-2024,98.3543
57,08-02-2024,98.0936
58,07-02-2024,97.444
59,06-02-2024,98.2279
60,05-02-2024,98.6437
61,04-02-2024,98.6437
62,03-02-2024,98.6437
63,02-02-2024,97.4009
64,01-02-2024,97.1149
65,31-01-2024,96.7895
66,30-01-2024,96.9777
67,29-01-2024,97.0945
68,28-01-2024,97.0945
69,27-01-2024,97.0945
70,26-01-2024,96.6365
71,25-01-2024,96.1657
72,24-01-2024,95.8266
73,23-01-2024,95.8854
74,22-01-2024,96.3835
75,21-01-2024,96.3835
76,20-01-2024,96.3835
77,19-01-2024,96.5882
78,18-01-2024,96.0531
79,17-01-2024,95.6007
80,16-01-2024,96.0682
81,15-01-2024,96.7517
82,14-01-2024,96.7517
83,13-01-2024,96.7517
84,12-01-2024,97.5401
85,11-01-2024,97.8745
86,10-01-2024,98.9825
87,09-01-2024,99.1919
88,08-01-2024,99.1919
89,07-01-2024,99.1919
90,06-01-2024,99.1919
91,05-01-2024,99.1919
92,04-01-2024,99.1919
93,03-01-2024,99.1919
94,02-01-2024,99.1919
95,01-01-2024,99.1919
96,31-12-2023,99.1919
97,30-12-2023,99.1919
98,29-12-2023,100.5506
99,28-12-2023,101.3451
100,27-12-2023,101.1178
101,26-12-2023,101.5781
102,25-12-2023,101.2863
103,24-12-2023,101.2863
104,23-12-2023,101.2863
105,22-12-2023,100.5113
106,21-12-2023,99.048
107,20-12-2023,98.5764
108,19-12-2023,98.7578
109,18-12-2023,98.4186
110,17-12-2023,98.4186
111,16-12-2023,98.4186
112,15-12-2023,97.7377
113,14-12-2023,96.95
114,13-12-2023,97.403
115,12-12-2023,98.0769
116,11-12-2023,98.8409
117,10-12-2023,98.8409
118,09-12-2023,98.8409
119,08-12-2023,99.8131
120,07-12-2023,100.1353
121,06-12-2023,99.134
122,05-12-2023,98.5768
123,04-12-2023,97.9126
124,03-12-2023,97.9126
125,02-12-2023,97.9126
126,01-12-2023,96.8827
127,30-11-2023,97.6503
128,29-11-2023,97.0659
129,28-11-2023,97.1594
130,27-11-2023,96.9187
131,26-11-2023,96.9187
132,25-11-2023,96.9187
133,24-11-2023,96.2273
134,23-11-2023,96.1475
135,22-11-2023,96.2561
136,21-11-2023,96.6597
137,20-11-2023,96.7692
138,19-11-2023,96.7692
139,18-11-2023,96.7692
140,17-11-2023,96.5921
141,16-11-2023,97.1334
142,15-11-2023,97.7781
143,14-11-2023,98.5314
144,13-11-2023,98.3155
145,12-11-2023,98.3155
146,11-11-2023,98.3155
147,10-11-2023,98.4076
148,09-11-2023,98.4403
149,08-11-2023,98.7863
150,07-11-2023,99.0111
151,06-11-2023,99.0111
152,05-11-2023,99.0111
153,04-11-2023,99.0111
154,03-11-2023,98.9995
155,02-11-2023,98.4365
156,01-11-2023,97.9345
157,31-10-2023,98.6164
158,30-10-2023,98.3504
159,29-10-2023,98.3504
160,28-10-2023,98.3504
161,27-10-2023,98.7376
162,26-10-2023,98.6543
163,25-10-2023,99.5534
164,24-10-2023,100.303
165,23-10-2023,101.4257
166,22-10-2023,101.4257
167,21-10-2023,101.4257
168,20-10-2023,102.6255
169,19-10-2023,102.9059
170,18-10-2023,102.7527
171,17-10-2023,102.52
172,16-10-2023,102.5523
