,date,rate
0,05-04-2024,60.8797
1,04-04-2024,60.9749
2,03-04-2024,60.9924
3,02-04-2024,60.9667
4,01-04-2024,61.0684
5,31-03-2024,61.0684
6,30-03-2024,61.0684
7,29-03-2024,60.9398
8,28-03-2024,61.0161
9,27-03-2024,61.182
10,26-03-2024,61.2869
11,25-03-2024,61.1299
12,24-03-2024,61.1299
13,23-03-2024,61.1299
14,22-03-2024,60.9626
15,21-03-2024,62.1221
16,20-03-2024,61.8125
17,19-03-2024,61.6301
18,18-03-2024,61.8737
19,17-03-2024,61.8737
20,16-03-2024,61.8737
21,15-03-2024,62.0797
22,14-03-2024,62.077
23,13-03-2024,61.8875
24,12-03-2024,61.7548
25,11-03-2024,60.9342
26,10-03-2024,60.9342
27,09-03-2024,60.9342
28,08-03-2024,60.9342
29,07-03-2024,60.2315
30,06-03-2024,60.6241
31,05-03-2024,60.8941
32,04-03-2024,60.7271
33,03-03-2024,60.7271
34,02-03-2024,60.7271
35,01-03-2024,60.3203
36,29-02-2024,61.0629
37,28-02-2024,61.1375
38,27-02-2024,61.6274
39,26-02-2024,61.666
40,25-02-2024,61.666
41,24-02-2024,61.666
42,23-02-2024,61.666
43,22-02-2024,61.6053
44,21-02-2024,61.4349
45,20-02-2024,61.615
46,19-02-2024,61.6378
47,18-02-2024,61.6378
48,17-02-2024,61.6378
49,16-02-2024,61.0692
50,15-02-2024,60.6995
51,14-02-2024,61.0684
52,13-02-2024,60.961
53,12-02-2024,60.8367
54,11-02-2024,60.8367
55,10-02-2024,60.8367
56,09-02-2024,61.6512
57,08-02-2024,61.6513
58,07-02-2024,61.0093
59,06-02-2024,61.3483
60,05-02-2024,61.9322
61,04-02-2024,61.9322
62,03-02-2024,61.9322
63,02-02-2024,61.4855
64,01-02-2024,60.7917
65,31-01-2024,60.6087
66,30-01-2024,60.4568
67,29-01-2024,60.6476
68,28-01-2024,60.6476
69,27-01-2024,60.6476
70,26-01-2024,60.0042
71,25-01-2024,59.6023
72,24-01-2024,59.3652
73,23-01-2024,59.3927
74,22-01-2024,59.8255
75,21-01-2024,59.8255
76,20-01-2024,59.8255
77,19-01-2024,59.8454
78,18-01-2024,59.9457
79,17-01-2024,60.093
80,16-01-2024,60.4254
81,15-01-2024,60.6847
82,14-01-2024,60.6847
83,13-01-2024,60.6847
84,12-01-2024,61.0058
85,11-01-2024,61.8087
86,10-01-2024,62.8155
87,09-01-2024,63.3302
88,08-01-2024,63.3302
89,07-01-2024,63.3302
90,06-01-2024,63.3302
91,05-01-2024,63.3302
92,04-01-2024,63.3302
93,03-01-2024,63.3302
94,02-01-2024,63.3302
95,01-01-2024,63.3302
96,31-12-2023,63.3302
97,30-12-2023,63.3302
98,29-12-2023,63.7516
99,28-12-2023,64.2868
100,27-12-2023,64.4915
101,26-12-2023,64.6531
102,25-12-2023,64.7868
103,24-12-2023,64.7868
104,23-12-2023,64.7868
105,22-12-2023,63.9692
106,21-12-2023,62.7904
107,20-12-2023,62.774
108,19-12-2023,63.6062
109,18-12-2023,62.9892
110,17-12-2023,62.9892
111,16-12-2023,62.9892
112,15-12-2023,62.9601
113,14-12-2023,61.7691
114,13-12-2023,61.8764
115,12-12-2023,62.5324
116,11-12-2023,63.639
117,10-12-2023,63.639
118,09-12-2023,63.639
119,08-12-2023,63.401
120,07-12-2023,63.0359
121,06-12-2023,62.2162
122,05-12-2023,61.9561
123,04-12-2023,60.7361
124,03-12-2023,60.7361
125,02-12-2023,60.7361
126,01-12-2023,60.268
127,30-11-2023,60.523
128,29-11-2023,59.8273
129,28-11-2023,59.3421
130,27-11-2023,59.3831
131,26-11-2023,59.3831
132,25-11-2023,59.3831
133,24-11-2023,59.4606
134,23-11-2023,59.4904
135,22-11-2023,59.3717
136,21-11-2023,59.3929
137,20-11-2023,59.1477
138,19-11-2023,59.1477
139,18-11-2023,59.1477
140,17-11-2023,58.8077
141,16-11-2023,59.3843
