,date,rate
0,05-04-2024,10.3308
1,04-04-2024,10.3401
2,03-04-2024,10.3554
3,02-04-2024,10.3226
4,01-04-2024,10.3236
5,31-03-2024,10.3236
6,30-03-2024,10.3236
7,29-03-2024,10.312
8,28-03-2024,10.3443
9,27-03-2024,10.3424
10,26-03-2024,10.3649
11,25-03-2024,10.3465
12,24-03-2024,10.3465
13,23-03-2024,10.3465
14,22-03-2024,10.2726
15,21-03-2024,10.3548
16,20-03-2024,10.3032
17,19-03-2024,10.2763
18,18-03-2024,10.2637
19,17-03-2024,10.2637
20,16-03-2024,10.2637
21,15-03-2024,10.2375
22,14-03-2024,10.23
23,13-03-2024,10.1623
24,12-03-2024,10.1336
25,11-03-2024,10.1475
26,10-03-2024,10.1475
27,09-03-2024,10.1475
28,08-03-2024,10.1475
29,07-03-2024,10.1019
30,06-03-2024,10.1935
31,05-03-2024,10.2151
32,04-03-2024,10.2163
33,03-03-2024,10.2163
34,02-03-2024,10.2163
35,01-03-2024,10.159
36,29-02-2024,10.2727
37,28-02-2024,10.2921
38,27-02-2024,10.3581
39,26-02-2024,10.3715
40,25-02-2024,10.3715
41,24-02-2024,10.3715
42,23-02-2024,10.3715
43,22-02-2024,10.3364
44,21-02-2024,10.3264
45,20-02-2024,10.3332
46,19-02-2024,10.3488
47,18-02-2024,10.3488
48,17-02-2024,10.3488
49,16-02-2024,10.2677
50,15-02-2024,10.2238
51,14-02-2024,10.1986
52,13-02-2024,10.184
53,12-02-2024,10.1633
54,11-02-2024,10.1633
55,10-02-2024,10.1633
56,09-02-2024,10.2042
57,08-02-2024,10.1925
58,07-02-2024,10.1402
59,06-02-2024,10.2028
60,05-02-2024,10.1503
61,04-02-2024,10.1503
62,03-02-2024,10.1503
63,02-02-2024,10.1019
64,01-02-2024,10.0389
65,31-01-2024,99.965
66,30-01-2024,10.0324
67,29-01-2024,10.0219
68,28-01-2024,10.0219
69,27-01-2024,10.0219
70,26-01-2024,99.2568
71,25-01-2024,98.8444
72,24-01-2024,98.4649
73,23-01-2024,98.5052
74,22-01-2024,99.185
75,21-01-2024,99.185
76,20-01-2024,99.185
77,19-01-2024,99.2821
78,18-01-2024,98.9479
79,17-01-2024,98.1295
80,16-01-2024,98.1608
81,15-01-2024,98.6704
82,14-01-2024,98.6704
83,13-01-2024,98.6704
84,12-01-2024,99.3974
85,11-01-2024,10.0086
86,10-01-2024,10.1257
87,09-01-2024,10.0677
88,08-01-2024,10.0677
89,07-01-2024,10.0677
90,06-01-2024,10.0677
91,05-01-2024,10.0677
92,04-01-2024,10.0677
93,03-01-2024,10.0677
94,02-01-2024,10.0677
95,01-01-2024,10.0677
96,31-12-2023,10.0677
97,30-12-2023,10.0677
98,29-12-2023,10.1394
99,28-12-2023,10.3006
100,27-12-2023,10.3034
101,26-12-2023,10.3146
102,25-12-2023,10.3042
103,24-12-2023,10.3042
104,23-12-2023,10.3042
105,22-12-2023,10.3174
106,21-12-2023,10.1733
107,20-12-2023,10.1202
108,19-12-2023,10.1534
109,18-12-2023,10.0745
110,17-12-2023,10.0745
111,16-12-2023,10.0745
112,15-12-2023,10.0668
113,14-12-2023,10.0776
114,13-12-2023,10.1003
115,12-12-2023,10.1864
116,11-12-2023,10.2598
117,10-12-2023,10.2598
118,09-12-2023,10.2598
119,08-12-2023,10.3633
120,07-12-2023,10.3877
121,06-12-2023,10.2539
122,05-12-2023,10.1537
123,04-12-2023,10.0646
124,03-12-2023,10.0646
125,02-12-2023,10.0646
126,01-12-2023,99.3468
127,30-11-2023,99.828
128,29-11-2023,99.6525
129,28-11-2023,99.8362
130,27-11-2023,10.021
131,26-11-2023,10.021
132,25-11-2023,10.021
133,24-11-2023,99.2152
134,23-11-2023,99.1378
135,22-11-2023,98.7194
136,21-11-2023,99.3016
137,20-11-2023,99.9976
138,19-11-2023,99.9976
139,18-11-2023,99.9976
140,17-11-2023,99.6347
141,16-11-2023,10.0165
142,15-11-2023,10.2169
143,14-11-2023,10.3133
144,13-11-2023,10.306
145,12-11-2023,10.306
146,11-11-2023,10.306
147,10-11-2023,10.2918
148,09-11-2023,10.3221
149,08-11-2023,10.3465
150,07-11-2023,10.4159
151,06-11-2023,10.4159
152,05-11-2023,10.4159
153,04-11-2023,10.4159
154,03-11-2023,10.4314
155,02-11-2023,10.4434
156,01-11-2023,10.3027
157,31-10-2023,10.4393
158,30-10-2023,10.4363
159,29-10-2023,10.4363
160,28-10-2023,10.4363
161,27-10-2023,10.4749
162,26-10-2023,10.4289
163,25-10-2023,10.4705
164,24-10-2023,10.6032
165,23-10-2023,10.7373
166,22-10-2023,10.7373
167,21-10-2023,10.7373
168,20-10-2023,10.8942
169,19-10-2023,10.9015
170,18-10-2023,10.8985
171,17-10-2023,10.9088
172,16-10-2023,10.9126
173,15-10-2023,10.9126
174,14-10-2023,10.9126
175,13-10-2023,10.8775
176,12-10-2023,11.2439
177,11-10-2023,11.2387
178,10-10-2023,11.399
179,09-10-2023,11.3013
180,08-10-2023,11.3013
181,07-10-2023,11.3013
182,06-10-2023,11.2362
183,05-10-2023,11.2113
184,04-10-2023,11.1901
185,03-10-2023,11.1012
186,02-10-2023,10.9813
187,01-10-2023,10.9813
188,30-09-2023,10.9813
189,29-09-2023,10.9347
190,28-09-2023,10.8781
191,27-09-2023,10.8486
192,26-09-2023,10.8382
193,25-09-2023,10.8265
194,24-09-2023,10.8265
195,23-09-2023,10.8265
196,22-09-2023,10.8304
197,21-09-2023,10.8914
198,20-09-2023,10.847
199,19-09-2023,10.8947
200,18-09-2023,10.8932
201,17-09-2023,10.8932
202,16-09-2023,10.8932
203,15-09-2023,10.8444
204,14-09-2023,10.8586
205,13-09-2023,10.7143
206,12-09-2023,10.9185
207,11-09-2023,11.0801
208,10-09-2023,11.0801
209,09-09-2023,11.0801
210,08-09-2023,11.1104
211,07-09-2023,11.0846
212,06-09-2023,11.05
213,05-09-2023,10.9479
214,04-09-2023,10.9158
215,03-09-2023,10.9158
216,02-09-2023,10.9158
217,01-09-2023,10.9156
218,31-08-2023,10.8696
219,30-08-2023,10.8453
220,29-08-2023,10.8185
221,28-08-2023,10.7359
222,27-08-2023,10.7359
223,26-08-2023,10.7359
224,25-08-2023,10.6997
225,24-08-2023,10.7112
226,23-08-2023,10.6771
227,22-08-2023,10.6653
228,21-08-2023,10.5817
229,20-08-2023,10.5817
230,19-08-2023,10.5817
231,18-08-2023,10.6204
232,17-08-2023,10.9555
233,16-08-2023,11.0368
234,15-08-2023,11.4467
235,14-08-2023,11.1573
236,13-08-2023,11.1573
237,12-08-2023,11.1573
238,11-08-2023,11.0708
239,10-08-2023,11.0845
240,09-08-2023,10.9338
241,08-08-2023,10.9897
242,07-08-2023,10.794
243,06-08-2023,10.794
244,05-08-2023,10.794
245,04-08-2023,10.6846
246,03-08-2023,10.5793
247,02-08-2023,10.4549
248,01-08-2023,10.443
249,31-07-2023,10.381
250,30-07-2023,10.381
251,29-07-2023,10.381
252,28-07-2023,10.2765
253,27-07-2023,10.2739
254,26-07-2023,10.2552
255,25-07-2023,10.2992
256,24-07-2023,10.2862
257,23-07-2023,10.2862
258,22-07-2023,10.2862
259,21-07-2023,10.3396
260,20-07-2023,10.3795
261,19-07-2023,10.321
262,18-07-2023,10.2905
263,17-07-2023,10.2559
264,16-07-2023,10.2559
265,15-07-2023,10.2559
266,14-07-2023,10.2624
267,13-07-2023,10.3142
268,12-07-2023,10.3151
269,11-07-2023,10.428
270,10-07-2023,10.45
271,09-07-2023,10.45
272,08-07-2023,10.45
273,07-07-2023,10.5685
274,06-07-2023,10.3158
275,05-07-2023,10.2419
276,04-07-2023,10.2308
277,03-07-2023,10.1357
278,02-07-2023,10.1357
279,01-07-2023,10.1357
280,30-06-2023,99.7792
281,29-06-2023,98.0635
282,28-06-2023,97.412
283,27-06-2023,96.9551
284,26-06-2023,96.3125
285,25-06-2023,96.3125
286,24-06-2023,96.3125
287,23-06-2023,95.7706
288,22-06-2023,96.4979
289,21-06-2023,96.4422
290,20-06-2023,96.0106
291,19-06-2023,95.5015
292,18-06-2023,95.5015
