,date,rate
0,05-04-2024,52.0431
1,04-04-2024,52.2413
2,03-04-2024,52.4422
3,02-04-2024,52.3253
4,01-04-2024,52.3471
5,31-03-2024,52.3471
6,30-03-2024,52.3471
7,29-03-2024,52.2958
8,28-03-2024,52.3393
9,27-03-2024,52.2256
10,26-03-2024,52.3192
11,25-03-2024,52.2174
12,24-03-2024,52.2174
13,23-03-2024,52.2174
14,22-03-2024,51.8817
15,21-03-2024,52.3837
16,20-03-2024,52.1681
17,19-03-2024,52.1203
18,18-03-2024,52.1837
19,17-03-2024,52.1837
20,16-03-2024,52.1837
21,15-03-2024,52.0351
22,14-03-2024,51.8636
23,13-03-2024,51.3271
24,12-03-2024,51.0789
25,11-03-2024,51.0947
26,10-03-2024,51.0947
27,09-03-2024,51.0947
28,08-03-2024,51.0947
29,07-03-2024,50.9065
30,06-03-2024,51.3626
31,05-03-2024,51.4482
32,04-03-2024,51.3099
33,03-03-2024,51.3099
34,02-03-2024,51.3099
35,01-03-2024,50.9563
36,29-02-2024,51.4518
37,28-02-2024,51.4388
38,27-02-2024,51.7036
39,26-02-2024,51.769
40,25-02-2024,51.769
41,24-02-2024,51.769
42,23-02-2024,51.769
43,22-02-2024,51.6495
44,21-02-2024,51.6589
45,20-02-2024,51.7168
46,19-02-2024,51.8407
47,18-02-2024,51.8407
48,17-02-2024,51.8407
49,16-02-2024,51.6075
50,15-02-2024,51.399
51,14-02-2024,51.2072
52,13-02-2024,51.1257
53,12-02-2024,50.9708
54,11-02-2024,50.9708
55,10-02-2024,50.9708
56,09-02-2024,51.2085
57,08-02-2024,51.1618
58,07-02-2024,50.9307
59,06-02-2024,51.2192
60,05-02-2024,50.9842
61,04-02-2024,50.9842
62,03-02-2024,50.9842
63,02-02-2024,50.794
64,01-02-2024,50.547
65,31-01-2024,50.3216
66,30-01-2024,50.5004
67,29-01-2024,50.4676
68,28-01-2024,50.4676
69,27-01-2024,50.4676
70,26-01-2024,49.997
71,25-01-2024,49.7612
72,24-01-2024,49.4955
73,23-01-2024,49.5709
74,22-01-2024,50.0294
75,21-01-2024,50.0294
76,20-01-2024,50.0294
77,19-01-2024,50.1933
78,18-01-2024,49.9548
79,17-01-2024,49.5638
80,16-01-2024,49.4471
81,15-01-2024,49.6381
82,14-01-2024,49.6381
83,13-01-2024,49.6381
84,12-01-2024,50.0563
85,11-01-2024,50.3801
86,10-01-2024,51.1981
87,09-01-2024,51.5266
88,08-01-2024,51.5266
89,07-01-2024,51.5266
90,06-01-2024,51.5266
91,05-01-2024,51.5266
92,04-01-2024,51.5266
93,03-01-2024,51.5266
94,02-01-2024,51.5266
95,01-01-2024,51.5266
96,31-12-2023,51.5266
97,30-12-2023,51.5266
98,29-12-2023,51.6507
99,28-12-2023,52.2596
100,27-12-2023,52.1592
101,26-12-2023,52.3083
102,25-12-2023,52.3824
103,24-12-2023,52.3824
104,23-12-2023,52.3824
105,22-12-2023,52.1894
106,21-12-2023,51.2416
107,20-12-2023,50.795
108,19-12-2023,50.7968
109,18-12-2023,50.1892
110,17-12-2023,50.1892
111,16-12-2023,50.1892
112,15-12-2023,49.9338
113,14-12-2023,50.1169
114,13-12-2023,50.6193
115,12-12-2023,51.2849
116,11-12-2023,51.6836
117,10-12-2023,51.6836
118,09-12-2023,51.6836
119,08-12-2023,52.1313
120,07-12-2023,52.2501
121,06-12-2023,51.4643
122,05-12-2023,51.033
123,04-12-2023,50.4768
124,03-12-2023,50.4768
125,02-12-2023,50.4768
126,01-12-2023,49.6438
127,30-11-2023,49.783
128,29-11-2023,49.6519
129,28-11-2023,49.7476
130,27-11-2023,49.9257
131,26-11-2023,49.9257
132,25-11-2023,49.9257
133,24-11-2023,49.5424
134,23-11-2023,49.5199
135,22-11-2023,49.2269
136,21-11-2023,49.5537
137,20-11-2023,49.7809
138,19-11-2023,49.7809
139,18-11-2023,49.7809
140,17-11-2023,49.5243
141,16-11-2023,49.7528
142,15-11-2023,50.9779
143,14-11-2023,51.4721
144,13-11-2023,51.4354
145,12-11-2023,51.4354
146,11-11-2023,51.4354
147,10-11-2023,51.2049
148,09-11-2023,51.2227
149,08-11-2023,51.1304
150,07-11-2023,51.3184
151,06-11-2023,51.3184
152,05-11-2023,51.3184
153,04-11-2023,51.3184
154,03-11-2023,51.3749
155,02-11-2023,51.3634
156,01-11-2023,50.6872
157,31-10-2023,51.4839
158,30-10-2023,51.4592
159,29-10-2023,51.4592
160,28-10-2023,51.4592
161,27-10-2023,51.5255
162,26-10-2023,51.1665
163,25-10-2023,51.2791
164,24-10-2023,51.9857
165,23-10-2023,52.6645
166,22-10-2023,52.6645
167,21-10-2023,52.6645
168,20-10-2023,53.6005
169,19-10-2023,53.6534
170,18-10-2023,53.8229
171,17-10-2023,53.7792
172,16-10-2023,53.6706
173,15-10-2023,53.6706
174,14-10-2023,53.6706
175,13-10-2023,53.334
176,12-10-2023,54.889
177,11-10-2023,54.7576
178,10-10-2023,55.6179
179,09-10-2023,55.0983
180,08-10-2023,55.0983
181,07-10-2023,55.0983
182,06-10-2023,54.686
183,05-10-2023,54.5964
184,04-10-2023,54.4446
185,03-10-2023,53.9694
186,02-10-2023,53.6563
187,01-10-2023,53.6563
188,30-09-2023,53.6563
189,29-09-2023,53.4531
190,28-09-2023,53.1157
191,27-09-2023,52.8704
192,26-09-2023,52.881
193,25-09-2023,52.9366
194,24-09-2023,52.9366
195,23-09-2023,52.9366
196,22-09-2023,53.2432
197,21-09-2023,53.6229
198,20-09-2023,53.5677
199,19-09-2023,53.8446
200,18-09-2023,53.7592
201,17-09-2023,53.7592
202,16-09-2023,53.7592
203,15-09-2023,53.4548
204,14-09-2023,53.3536
205,13-09-2023,52.7068
206,12-09-2023,53.7561
207,11-09-2023,54.6604
208,10-09-2023,54.6604
209,09-09-2023,54.6604
210,08-09-2023,54.8983
211,07-09-2023,54.8096
