,date,rate
0,03-02-2024,7.69
1,04-02-2024,7.69
2,05-02-2024,7.69
3,06-02-2024,7.69
4,07-02-2024,7.69
5,08-02-2024,7.69
6,09-02-2024,7.69
7,10-02-2024,7.69
8,11-02-2024,7.69
9,12-02-2024,7.69
10,13-02-2024,7.69
11,14-02-2024,7.69
12,15-02-2024,7.69
13,16-02-2024,7.69
14,17-02-2024,7.69
15,18-02-2024,7.69
16,19-02-2024,7.69
17,20-02-2024,7.69
18,21-02-2024,7.69
19,22-02-2024,7.69
20,23-02-2024,7.69
21,24-02-2024,7.69
22,25-02-2024,7.69
23,26-02-2024,7.69
24,27-02-2024,7.69
25,28-02-2024,7.69
26,29-02-2024,7.69
27,00-01-2024,7.44
28,01-01-2024,7.44
29,02-01-2024,7.44
30,03-01-2024,7.44
31,04-01-2024,7.44
32,05-01-2024,7.44
33,06-01-2024,7.44
34,07-01-2024,7.44
35,08-01-2024,7.44
36,09-01-2024,7.44
37,10-01-2024,7.44
38,11-01-2024,7.44
39,12-01-2024,7.44
40,13-01-2024,7.44
41,14-01-2024,7.44
42,15-01-2024,7.44
43,16-01-2024,7.44
44,17-01-2024,7.44
45,18-01-2024,7.44
46,19-01-2024,7.44
47,20-01-2024,7.44
48,21-01-2024,7.44
49,22-01-2024,7.44
50,23-01-2024,7.44
51,24-01-2024,7.44
52,25-01-2024,7.44
53,26-01-2024,7.44
54,27-01-2024,7.44
55,28-01-2024,7.44
56,29-01-2024,7.44
57,30-01-2024,7.44
58,31-01-2024,7.44
59,04-12-2023,7.42
60,05-12-2023,7.42
61,06-12-2023,7.42
62,07-12-2023,7.42
63,08-12-2023,7.42
64,09-12-2023,7.42
65,10-12-2023,7.42
66,11-12-2023,7.42
67,12-12-2023,7.42
68,13-12-2023,7.42
69,14-12-2023,7.42
70,15-12-2023,7.42
71,16-12-2023,7.42
72,17-12-2023,7.42
73,18-12-2023,7.42
74,19-12-2023,7.42
75,20-12-2023,7.42
76,21-12-2023,7.42
77,22-12-2023,7.42
78,23-12-2023,7.42
79,24-12-2023,7.42
80,25-12-2023,7.42
81,26-12-2023,7.42
82,27-12-2023,7.42
83,28-12-2023,7.42
84,29-12-2023,7.42
85,30-12-2023,7.42
86,31-12-2023,7.42
87,02-11-2023,7.48
88,03-11-2023,7.48
89,04-11-2023,7.48
90,05-11-2023,7.48
91,06-11-2023,7.48
92,07-11-2023,7.48
93,08-11-2023,7.48
94,09-11-2023,7.48
95,10-11-2023,7.48
96,11-11-2023,7.48
97,12-11-2023,7.48
98,13-11-2023,7.48
99,14-11-2023,7.48
100,15-11-2023,7.48
101,16-11-2023,7.48
102,17-11-2023,7.48
103,18-11-2023,7.48
104,19-11-2023,7.48
105,20-11-2023,7.48
106,21-11-2023,7.48
107,22-11-2023,7.48
108,23-11-2023,7.48
109,24-11-2023,7.48
110,25-11-2023,7.48
111,26-11-2023,7.48
112,27-11-2023,7.48
113,28-11-2023,7.48
114,29-11-2023,7.48
115,30-11-2023,7.48
116,06-10-2023,6.69
117,07-10-2023,6.69
118,08-10-2023,6.69
119,09-10-2023,6.69
120,10-10-2023,6.69
121,11-10-2023,6.69
122,12-10-2023,6.69
123,13-10-2023,6.69
124,14-10-2023,6.69
125,15-10-2023,6.69
126,16-10-2023,6.69
127,17-10-2023,6.69
128,18-10-2023,6.69
129,19-10-2023,6.69
130,20-10-2023,6.69
131,21-10-2023,6.69
132,22-10-2023,6.69
133,23-10-2023,6.69
134,24-10-2023,6.69
135,25-10-2023,6.69
136,26-10-2023,6.69
137,27-10-2023,6.69
138,28-10-2023,6.69
139,29-10-2023,6.69
140,30-10-2023,6.69
141,31-10-2023,6.69
142,04-09-2023,6.0
143,05-09-2023,6.0
144,06-09-2023,6.0
145,07-09-2023,6.0
146,08-09-2023,6.0
147,09-09-2023,6.0
148,10-09-2023,6.0
149,11-09-2023,6.0
150,12-09-2023,6.0
151,13-09-2023,6.0
152,14-09-2023,6.0
153,15-09-2023,6.0
154,16-09-2023,6.0
155,17-09-2023,6.0
156,18-09-2023,6.0
157,19-09-2023,6.0
158,20-09-2023,6.0
159,21-09-2023,6.0
160,22-09-2023,6.0
161,23-09-2023,6.0
162,24-09-2023,6.0
163,25-09-2023,6.0
164,26-09-2023,6.0
165,27-09-2023,6.0
166,28-09-2023,6.0
167,29-09-2023,6.0
168,30-09-2023,6.0
169,01-08-2023,5.15
170,02-08-2023,5.15
171,03-08-2023,5.15
172,04-08-2023,5.15
173,05-08-2023,5.15
174,06-08-2023,5.15
175,07-08-2023,5.15
176,08-08-2023,5.15
177,09-08-2023,5.15
178,10-08-2023,5.15
179,11-08-2023,5.15
180,12-08-2023,5.15
181,13-08-2023,5.15
182,14-08-2023,5.15
183,15-08-2023,5.15
184,16-08-2023,5.15
185,17-08-2023,5.15
186,18-08-2023,5.15
187,19-08-2023,5.15
188,20-08-2023,5.15
189,21-08-2023,5.15
190,22-08-2023,5.15
191,23-08-2023,5.15
192,24-08-2023,5.15
193,25-08-2023,5.15
194,26-08-2023,5.15
195,27-08-2023,5.15
196,28-08-2023,5.15
197,29-08-2023,5.15
198,30-08-2023,5.15
199,31-08-2023,5.15
200,05-07-2023,4.3
201,06-07-2023,4.3
202,07-07-2023,4.3
203,08-07-2023,4.3
204,09-07-2023,4.3
205,10-07-2023,4.3
206,11-07-2023,4.3
207,12-07-2023,4.3
208,13-07-2023,4.3
209,14-07-2023,4.3
210,15-07-2023,4.3
211,16-07-2023,4.3
