,date,rate
0,31-10-2013,57.4
1,01-11-2013,57.38
2,02-11-2013,56.85
3,03-11-2013,56.85
4,04-11-2013,56.85
5,05-11-2013,56.85
6,06-11-2013,57.4
7,07-11-2013,58.45
8,08-11-2013,57.1
9,09-11-2013,57.47
10,10-11-2013,57.47
11,11-11-2013,57.47
12,12-11-2013,57.88
13,13-11-2013,57.83
14,14-11-2013,59.51
15,15-11-2013,59.88
16,16-11-2013,59.81
17,17-11-2013,59.81
18,18-11-2013,59.81
19,19-11-2013,58.68
20,20-11-2013,57.6
21,21-11-2013,57.78
22,22-11-2013,58.29
23,23-11-2013,58.26
24,24-11-2013,58.26
25,25-11-2013,58.26
26,26-11-2013,57.57
27,27-11-2013,57.19
28,28-11-2013,58.44
29,29-11-2013,60.42
30,30-11-2013,62.69
31,01-12-2013,62.69
32,02-12-2013,62.69
33,03-12-2013,63.12
34,04-12-2013,67.46
35,05-12-2013,66.72
36,06-12-2013,68.8
37,07-12-2013,72.48
38,08-12-2013,72.48
39,09-12-2013,72.48
40,10-12-2013,74.1
41,11-12-2013,73.09
42,12-12-2013,73.65
43,13-12-2013,76.75
44,14-12-2013,79.66
45,15-12-2013,79.66
46,16-12-2013,79.66
47,17-12-2013,79.24
48,18-12-2013,77.17
49,19-12-2013,78.0
50,20-12-2013,79.23
51,21-12-2013,81.56
52,22-12-2013,81.56
53,23-12-2013,81.56
54,24-12-2013,85.0
55,25-12-2013,85.05
56,26-12-2013,84.54
57,27-12-2013,82.5
58,28-12-2013,83.7
59,29-12-2013,83.7
60,30-12-2013,83.7
61,31-12-2013,83.24
62,01-01-2014,83.24
63,02-01-2014,83.24
64,03-01-2014,83.24
65,04-01-2014,83.24
66,05-01-2014,83.24
67,06-01-2014,83.24
68,07-01-2014,83.41
69,08-01-2014,83.41
70,09-01-2014,82.9
71,10-01-2014,82.83
72,11-01-2014,87.87
73,12-01-2014,87.87
74,13-01-2014,87.87
75,14-01-2014,84.96
76,15-01-2014,83.9
77,16-01-2014,84.8
78,17-01-2014,84.25
79,18-01-2014,85.46
80,19-01-2014,85.46
81,20-01-2014,85.46
82,21-01-2014,81.35
83,22-01-2014,78.78
84,23-01-2014,79.79
85,24-01-2014,78.7
86,25-01-2014,81.9
87,26-01-2014,81.9
88,27-01-2014,81.9
89,28-01-2014,81.75
90,29-01-2014,81.38
91,30-01-2014,81.44
92,31-01-2014,83.0
93,01-02-2014,80.0
94,02-02-2014,80.0
95,03-02-2014,80.0
96,04-02-2014,76.65
97,05-02-2014,76.12
98,06-02-2014,78.9
99,07-02-2014,79.5
100,08-02-2014,79.51
101,09-02-2014,79.51
102,10-02-2014,79.51
103,11-02-2014,80.7
104,12-02-2014,82.02
105,13-02-2014,80.6
106,14-02-2014,80.28
107,15-02-2014,80.75
108,16-02-2014,80.75
109,17-02-2014,80.75
110,18-02-2014,80.0
111,19-02-2014,78.1
112,20-02-2014,77.8
113,21-02-2014,77.88
