,date,rate
0,25-03-2013,1922.0
1,26-03-2013,1944.5
2,27-03-2013,1969.7
3,28-03-2013,1993.2
4,29-03-2013,2003.4
5,30-03-2013,1978.2
6,31-03-2013,1978.2
7,01-04-2013,1978.2
8,02-04-2013,2002.2
9,03-04-2013,1978.9
10,04-04-2013,1966.9
11,05-04-2013,1942.8
12,06-04-2013,1924.3
13,07-04-2013,1924.3
14,08-04-2013,1924.3
15,09-04-2013,1965.9
16,10-04-2013,1942.3
17,11-04-2013,1920.0
18,12-04-2013,1934.4
19,13-04-2013,1886.0
20,14-04-2013,1886.0
21,15-04-2013,1886.0
22,16-04-2013,1899.4
23,17-04-2013,1892.3
24,18-04-2013,1893.9
25,19-04-2013,1887.6
26,20-04-2013,1849.7
27,21-04-2013,1849.7
28,22-04-2013,1849.7
29,23-04-2013,1890.6
30,24-04-2013,1963.5
31,25-04-2013,1960.0
32,26-04-2013,1965.5
33,27-04-2013,1935.9
34,28-04-2013,1935.9
35,29-04-2013,1935.9
36,30-04-2013,1963.8
37,01-05-2013,1974.7
38,02-05-2013,1974.7
39,03-05-2013,2008.7
40,04-05-2013,2016.6
41,05-05-2013,2016.6
42,06-05-2013,2016.6
43,07-05-2013,2038.0
44,08-05-2013,2035.0
45,09-05-2013,2000.9
46,10-05-2013,2000.9
47,11-05-2013,2005.0
48,12-05-2013,2005.0
49,13-05-2013,2005.0
50,14-05-2013,2015.6
51,15-05-2013,2017.0
52,16-05-2013,2002.0
53,17-05-2013,2023.0
54,18-05-2013,2026.0
55,19-05-2013,2026.0
56,20-05-2013,2026.0
57,21-05-2013,2045.5
58,22-05-2013,2083.6
59,23-05-2013,2037.6
60,24-05-2013,2006.1
61,25-05-2013,1995.1
62,26-05-2013,1995.1
63,27-05-2013,1995.1
64,28-05-2013,2016.0
65,29-05-2013,1941.2
66,30-05-2013,1925.3
67,31-05-2013,1874.1
68,01-06-2013,1891.0
69,02-06-2013,1891.0
70,03-06-2013,1891.0
71,04-06-2013,1882.5
72,05-06-2013,1880.1
73,06-06-2013,1873.2
74,07-06-2013,1912.4
75,08-06-2013,1888.0
76,09-06-2013,1888.0
77,10-06-2013,1888.0
78,11-06-2013,1862.2
79,12-06-2013,1850.5
80,13-06-2013,1850.5
81,14-06-2013,1866.4
82,15-06-2013,1876.2
83,16-06-2013,1876.2
84,17-06-2013,1876.2
85,18-06-2013,1890.0
86,19-06-2013,1884.8
87,20-06-2013,1864.7
88,21-06-2013,1794.2
89,22-06-2013,1790.4
90,23-06-2013,1790.4
91,24-06-2013,1790.4
92,25-06-2013,1820.0
93,26-06-2013,1865.0
94,27-06-2013,1855.7
95,28-06-2013,1892.6
96,29-06-2013,1910.3
97,30-06-2013,1910.3
98,01-07-2013,1910.3
99,02-07-2013,1913.8
100,03-07-2013,1924.3
101,04-07-2013,1925.5
102,05-07-2013,1915.9
103,06-07-2013,1920.0
104,07-07-2013,1920.0
105,08-07-2013,1920.0
106,09-07-2013,1911.2
107,10-07-2013,1894.1
108,11-07-2013,1957.3
109,12-07-2013,1988.0
110,13-07-2013,1991.9
111,14-07-2013,1991.9
112,15-07-2013,1991.9
113,16-07-2013,1993.5
114,17-07-2013,1994.3
115,18-07-2013,1998.5
116,19-07-2013,2016.2
117,20-07-2013,2008.8
118,21-07-2013,2008.8
119,22-07-2013,2008.8
120,23-07-2013,2019.6
121,24-07-2013,2004.9
122,25-07-2013,1986.1
123,26-07-2013,1991.4
124,27-07-2013,1976.7
125,28-07-2013,1976.7
126,29-07-2013,1976.7
127,30-07-2013,1969.6
128,31-07-2013,1964.4
129,01-08-2013,1960.7
130,02-08-2013,1958.1
131,03-08-2013,1961.0
132,04-08-2013,1961.0
133,05-08-2013,1961.0
134,06-08-2013,1898.0
135,07-08-2013,1907.0
136,08-08-2013,1902.6
137,09-08-2013,1923.5
138,10-08-2013,1922.8
139,11-08-2013,1922.8
140,12-08-2013,1922.8
141,13-08-2013,1952.4
142,14-08-2013,1937.4
143,15-08-2013,1906.0
144,16-08-2013,1918.0
145,17-08-2013,1906.9
146,18-08-2013,1906.9
