,date,rate
0,09-06-2014,6.835
1,10-06-2014,6.762
2,11-06-2014,6.77
3,12-06-2014,6.848
4,13-06-2014,6.848
5,14-06-2014,6.848
6,15-06-2014,6.848
7,16-06-2014,6.848
8,17-06-2014,6.857
9,18-06-2014,6.8
10,19-06-2014,6.773
11,20-06-2014,6.728
12,21-06-2014,6.601
13,22-06-2014,6.601
14,23-06-2014,6.601
15,24-06-2014,6.699
16,25-06-2014,6.56
17,26-06-2014,6.628
18,27-06-2014,6.67
19,28-06-2014,6.693
20,29-06-2014,6.693
21,30-06-2014,6.693
22,01-07-2014,6.679
23,02-07-2014,6.798
24,03-07-2014,6.814
25,04-07-2014,6.699
26,05-07-2014,6.775
27,06-07-2014,6.775
28,07-07-2014,6.775
29,08-07-2014,6.763
30,09-07-2014,6.816
31,10-07-2014,6.744
32,11-07-2014,6.693
33,12-07-2014,6.646
34,13-07-2014,6.646
35,14-07-2014,6.646
36,15-07-2014,6.8
37,16-07-2014,6.92
38,17-07-2014,6.887
39,18-07-2014,6.82
40,19-07-2014,6.502
41,20-07-2014,6.502
42,21-07-2014,6.502
43,22-07-2014,6.556
44,23-07-2014,6.463
45,24-07-2014,6.681
46,25-07-2014,6.63
47,26-07-2014,6.49
48,27-07-2014,6.49
49,28-07-2014,6.49
50,29-07-2014,6.595
51,30-07-2014,6.681
52,31-07-2014,6.78
53,01-08-2014,6.757
54,02-08-2014,6.78
55,03-08-2014,6.78
56,04-08-2014,6.78
57,05-08-2014,6.758
58,06-08-2014,6.46
59,07-08-2014,6.38
60,08-08-2014,6.627
61,09-08-2014,6.784
62,10-08-2014,6.784
63,11-08-2014,6.784
64,12-08-2014,6.751
65,13-08-2014,6.794
66,14-08-2014,6.79
67,15-08-2014,6.82
68,16-08-2014,6.789
69,17-08-2014,6.789
70,18-08-2014,6.789
71,19-08-2014,6.871
72,20-08-2014,7.42
73,21-08-2014,7.418
74,22-08-2014,7.35
75,23-08-2014,7.55
76,24-08-2014,7.55
77,25-08-2014,7.55
78,26-08-2014,7.396
79,27-08-2014,7.439
80,28-08-2014,7.334
81,29-08-2014,7.347
82,30-08-2014,7.178
83,31-08-2014,7.178
84,01-09-2014,7.178
85,02-09-2014,7.264
86,03-09-2014,7.459
87,04-09-2014,7.506
88,05-09-2014,7.478
89,06-09-2014,7.464
90,07-09-2014,7.464
91,08-09-2014,7.464
92,09-09-2014,7.498
93,10-09-2014,7.428
94,11-09-2014,7.353
95,12-09-2014,7.576
