,date,rate
0,08-07-2013,7040.0
1,09-07-2013,7240.0
2,10-07-2013,7100.0
3,11-07-2013,7172.68
4,12-07-2013,7293.0
5,13-07-2013,
6,14-07-2013,
7,15-07-2013,
8,16-07-2013,
9,17-07-2013,7363.344709897611
10,18-07-2013,7350.066666666667
11,19-07-2013,7644.232291666667
12,20-07-2013,7803.0
13,21-07-2013,7803.0
14,22-07-2013,7803.0
15,23-07-2013,8035.71875
16,24-07-2013,8071.451612903225
17,25-07-2013,8012.5
18,26-07-2013,8193.855614973261
19,27-07-2013,8006.0
20,28-07-2013,8006.0
21,29-07-2013,8006.0
22,30-07-2013,8165.0
23,31-07-2013,8100.0
24,01-08-2013,8123.0
25,02-08-2013,8146.666666666667
26,03-08-2013,
27,04-08-2013,
28,05-08-2013,
29,06-08-2013,8041.525
30,07-08-2013,8007.5
31,08-08-2013,
32,09-08-2013,
33,10-08-2013,
34,11-08-2013,
35,12-08-2013,
36,13-08-2013,
37,14-08-2013,
38,15-08-2013,8066.111111111111
39,16-08-2013,8050.0
40,17-08-2013,8013.333333333333
41,18-08-2013,8013.333333333333
42,19-08-2013,8013.333333333333
43,20-08-2013,
44,21-08-2013,
45,22-08-2013,7772.45
46,23-08-2013,7989.4
47,24-08-2013,7830.0
48,25-08-2013,7830.0
49,26-08-2013,7830.0
50,27-08-2013,7531.589053254438
51,28-08-2013,7360.791330343797
52,29-08-2013,7407.220532319392
53,30-08-2013,7393.2818181818175
54,31-08-2013,7513.714559306633
55,01-09-2013,7513.714559306633
56,02-09-2013,7513.714559306633
57,03-09-2013,7510.057543223448
58,04-09-2013,7493.6091767803155
59,05-09-2013,7641.312550545241
60,06-09-2013,7796.471734506938
61,07-09-2013,7787.753474552687
62,08-09-2013,7787.753474552687
63,09-09-2013,7787.753474552687
64,10-09-2013,7788.94662429261
65,11-09-2013,7753.631759774728
66,12-09-2013,7964.2744316205535
67,13-09-2013,8060.418489558947
68,14-09-2013,8151.289047512695
69,15-09-2013,8151.289047512695
70,16-09-2013,8151.289047512695
71,17-09-2013,8120.057564754296
72,18-09-2013,8113.087361820492
73,19-09-2013,8216.04653358268
74,20-09-2013,8191.094004836028
75,21-09-2013,8065.9973629782835
76,22-09-2013,8065.9973629782835
77,23-09-2013,8065.9973629782835
78,24-09-2013,8020.134571960978
79,25-09-2013,8068.651216017808
80,26-09-2013,8232.713659857047
81,27-09-2013,8210.910631268576
82,28-09-2013,8251.171652620513
83,29-09-2013,8251.171652620513
84,30-09-2013,8251.171652620513
85,01-10-2013,8230.612208780487
86,02-10-2013,8216.43506806169
87,03-10-2013,8182.681084194167
88,04-10-2013,8247.442977275949
89,05-10-2013,8454.301279907686
90,06-10-2013,8454.301279907686
91,07-10-2013,8454.301279907686
92,08-10-2013,8627.010601284182
93,09-10-2013,8696.88374141376
94,10-10-2013,8707.51771371536
95,11-10-2013,8592.640599814462
96,12-10-2013,8391.317197393495
97,13-10-2013,8391.317197393495
98,14-10-2013,8391.317197393495
99,15-10-2013,8448.013562681583
100,16-10-2013,8435.738683757616
101,17-10-2013,8303.112825172902
102,18-10-2013,8353.431816885653
103,19-10-2013,8427.175001246447
104,20-10-2013,8427.175001246447
105,21-10-2013,8427.175001246447
106,22-10-2013,8542.946704816404
107,23-10-2013,8548.709113177736
108,24-10-2013,8494.350438985632
109,25-10-2013,8343.03727861057
110,26-10-2013,8459.114840319064
111,27-10-2013,8459.114840319064
112,28-10-2013,8459.114840319064
113,29-10-2013,8546.073013262232
114,30-10-2013,8682.049758851601
115,31-10-2013,8675.883561812447
116,01-11-2013,8716.458174086014
117,02-11-2013,8698.821215385424
118,03-11-2013,8698.821215385424
119,04-11-2013,8698.821215385424
