,date,rate
0,25-03-2013,
1,26-03-2013,
2,27-03-2013,
3,28-03-2013,
4,29-03-2013,
5,30-03-2013,
6,31-03-2013,
7,01-04-2013,
8,02-04-2013,
9,03-04-2013,
10,04-04-2013,
11,05-04-2013,
12,06-04-2013,
13,07-04-2013,
14,08-04-2013,
15,09-04-2013,
16,10-04-2013,317.74
17,11-04-2013,
18,12-04-2013,
19,13-04-2013,
20,14-04-2013,
21,15-04-2013,
22,16-04-2013,
23,17-04-2013,310.0
24,18-04-2013,
25,19-04-2013,
26,20-04-2013,
27,21-04-2013,
28,22-04-2013,
29,23-04-2013,
30,24-04-2013,
31,25-04-2013,
32,26-04-2013,
33,27-04-2013,
34,28-04-2013,
35,29-04-2013,
36,30-04-2013,
37,01-05-2013,
38,02-05-2013,
39,03-05-2013,
40,04-05-2013,
41,05-05-2013,
42,06-05-2013,
43,07-05-2013,
44,08-05-2013,
45,09-05-2013,
46,10-05-2013,
47,11-05-2013,
48,12-05-2013,
49,13-05-2013,
50,14-05-2013,310.0
51,15-05-2013,
52,16-05-2013,
53,17-05-2013,
54,18-05-2013,277.72
55,19-05-2013,277.72
56,20-05-2013,277.72
57,21-05-2013,307.0
58,22-05-2013,
59,23-05-2013,
60,24-05-2013,293.0
61,25-05-2013,
62,26-05-2013,
63,27-05-2013,
64,28-05-2013,
65,29-05-2013,
66,30-05-2013,
67,31-05-2013,
68,01-06-2013,
69,02-06-2013,
70,03-06-2013,
71,04-06-2013,
72,05-06-2013,
73,06-06-2013,
74,07-06-2013,
75,08-06-2013,
76,09-06-2013,
77,10-06-2013,
78,11-06-2013,
79,12-06-2013,
80,13-06-2013,
81,14-06-2013,
82,15-06-2013,
83,16-06-2013,
84,17-06-2013,
85,18-06-2013,
86,19-06-2013,
87,20-06-2013,
88,21-06-2013,
89,22-06-2013,355.87199999999996
90,23-06-2013,355.87199999999996
91,24-06-2013,355.87199999999996
92,25-06-2013,325.90500000000003
93,26-06-2013,311.5
94,27-06-2013,
95,28-06-2013,
96,29-06-2013,
97,30-06-2013,
98,01-07-2013,
99,02-07-2013,
100,03-07-2013,
101,04-07-2013,
102,05-07-2013,
103,06-07-2013,
104,07-07-2013,
105,08-07-2013,
106,09-07-2013,
107,10-07-2013,
108,11-07-2013,
109,12-07-2013,
110,13-07-2013,362.9781481481482
111,14-07-2013,362.9781481481482
112,15-07-2013,362.9781481481482
113,16-07-2013,
114,17-07-2013,367.48275862068965
115,18-07-2013,365.34
116,19-07-2013,
117,20-07-2013,355.35
118,21-07-2013,355.35
119,22-07-2013,355.35
120,23-07-2013,360.94
121,24-07-2013,
122,25-07-2013,
123,26-07-2013,
124,27-07-2013,
125,28-07-2013,
126,29-07-2013,
127,30-07-2013,
128,31-07-2013,
129,01-08-2013,
130,02-08-2013,361.0
131,03-08-2013,
132,04-08-2013,
133,05-08-2013,
134,06-08-2013,
135,07-08-2013,341.0
136,08-08-2013,
137,09-08-2013,
138,10-08-2013,350.1894117647059
139,11-08-2013,350.1894117647059
140,12-08-2013,350.1894117647059
141,13-08-2013,
142,14-08-2013,
143,15-08-2013,
144,16-08-2013,
145,17-08-2013,359.0
146,18-08-2013,359.0
147,19-08-2013,359.0
148,20-08-2013,
149,21-08-2013,
150,22-08-2013,
151,23-08-2013,367.0
152,24-08-2013,
153,25-08-2013,
154,26-08-2013,
155,27-08-2013,364.98823529411766
156,28-08-2013,
157,29-08-2013,364.598
158,30-08-2013,360.5925
159,31-08-2013,362.5307351956056
160,01-09-2013,362.5307351956056
161,02-09-2013,362.5307351956056
162,03-09-2013,367.9705683922501
163,04-09-2013,370.42229771179683
164,05-09-2013,381.7041983922622
165,06-09-2013,390.10903705034684
166,07-09-2013,389.64425640531687
167,08-09-2013,389.64425640531687
168,09-09-2013,389.64425640531687
169,10-09-2013,386.61567086136
170,11-09-2013,390.7935233027078
171,12-09-2013,391.50895876179624
172,13-09-2013,387.2889167039189
173,14-09-2013,391.05777018966046
174,15-09-2013,391.05777018966046
175,16-09-2013,391.05777018966046
176,17-09-2013,392.3782506172839
177,18-09-2013,391.99319863597617
178,19-09-2013,389.5655234246575
179,20-09-2013,383.3803385683452
180,21-09-2013,376.6355748182736
181,22-09-2013,376.6355748182736
182,23-09-2013,376.6355748182736
183,24-09-2013,377.2100537998568
184,25-09-2013,379.175047022451
185,26-09-2013,385.56809968818527
186,27-09-2013,382.56417981186684
187,28-09-2013,385.0566020687681
188,29-09-2013,385.0566020687681
189,30-09-2013,385.0566020687681
190,01-10-2013,383.8713583790629
191,02-10-2013,376.4266866624234
192,03-10-2013,375.78220745748064
193,04-10-2013,376.7300255047315
194,05-10-2013,385.33754609804265
195,06-10-2013,385.33754609804265
196,07-10-2013,385.33754609804265
197,08-10-2013,391.6272548129575
198,09-10-2013,391.8388868362465
199,10-10-2013,404.99803194464954
200,11-10-2013,405.70668474064126
201,12-10-2013,401.27426092581135
202,13-10-2013,401.27426092581135
203,14-10-2013,401.27426092581135
204,15-10-2013,403.0208355096231
205,16-10-2013,401.48444036574415
206,17-10-2013,396.9250052326063
207,18-10-2013,404.6008935321398
208,19-10-2013,409.3746658486817
209,20-10-2013,409.3746658486817
210,21-10-2013,409.3746658486817
211,22-10-2013,408.72439864321035
