,date,rate
0,09-06-2014,511.6
1,10-06-2014,507.0
2,11-06-2014,512.8
3,12-06-2014,517.0
4,13-06-2014,517.0
5,14-06-2014,517.0
6,15-06-2014,517.0
7,16-06-2014,517.0
8,17-06-2014,513.1
9,18-06-2014,511.2
10,19-06-2014,502.5
11,20-06-2014,504.6
12,21-06-2014,502.0
13,22-06-2014,502.0
14,23-06-2014,502.0
15,24-06-2014,499.7
16,25-06-2014,484.8
17,26-06-2014,478.9
18,27-06-2014,483.0
19,28-06-2014,482.0
20,29-06-2014,482.0
21,30-06-2014,482.0
22,01-07-2014,485.2
23,02-07-2014,482.0
24,03-07-2014,479.7
25,04-07-2014,478.0
26,05-07-2014,481.3
27,06-07-2014,481.3
28,07-07-2014,481.3
29,08-07-2014,480.1
30,09-07-2014,481.2
31,10-07-2014,477.2
32,11-07-2014,477.2
33,12-07-2014,473.0
34,13-07-2014,473.0
35,14-07-2014,473.0
36,15-07-2014,465.9
37,16-07-2014,506.0
38,17-07-2014,524.0
39,18-07-2014,519.9
40,19-07-2014,496.0
41,20-07-2014,496.0
42,21-07-2014,496.0
43,22-07-2014,504.7
44,23-07-2014,515.0
45,24-07-2014,500.8
46,25-07-2014,500.5
47,26-07-2014,490.4
48,27-07-2014,490.4
49,28-07-2014,490.4
50,29-07-2014,489.7
51,30-07-2014,481.2
52,31-07-2014,482.1
53,01-08-2014,481.5
54,02-08-2014,485.5
55,03-08-2014,485.5
56,04-08-2014,485.5
57,05-08-2014,488.0
58,06-08-2014,496.5
59,07-08-2014,485.6
60,08-08-2014,489.1
61,09-08-2014,495.4
62,10-08-2014,495.4
63,11-08-2014,495.4
64,12-08-2014,490.0
65,13-08-2014,497.5
66,14-08-2014,496.0
67,15-08-2014,492.9
68,16-08-2014,489.0
69,17-08-2014,489.0
70,18-08-2014,489.0
71,19-08-2014,488.7
72,20-08-2014,494.5
73,21-08-2014,493.0
74,22-08-2014,496.0
75,23-08-2014,494.5
76,24-08-2014,494.5
77,25-08-2014,494.5
78,26-08-2014,493.3
79,27-08-2014,498.5
80,28-08-2014,500.0
81,29-08-2014,498.0
82,30-08-2014,502.0
83,31-08-2014,502.0
84,01-09-2014,502.0
85,02-09-2014,499.5
86,03-09-2014,500.5
87,04-09-2014,499.3
88,05-09-2014,499.2
89,06-09-2014,500.0
90,07-09-2014,500.0
91,08-09-2014,500.0
92,09-09-2014,499.4
93,10-09-2014,498.9
94,11-09-2014,498.8
95,12-09-2014,498.9
96,13-09-2014,495.6
97,14-09-2014,495.6
98,15-09-2014,495.6
99,16-09-2014,496.5
100,17-09-2014,490.1
101,18-09-2014,487.5
102,19-09-2014,509.0
103,20-09-2014,493.9
104,21-09-2014,493.9
105,22-09-2014,493.9
106,23-09-2014,496.1
107,24-09-2014,502.0
108,25-09-2014,499.1
109,26-09-2014,497.0
110,27-09-2014,496.8
111,28-09-2014,496.8
112,29-09-2014,496.8
113,30-09-2014,493.9
114,01-10-2014,492.5
115,02-10-2014,491.5
116,03-10-2014,494.0
117,04-10-2014,494.0
118,05-10-2014,494.0
119,06-10-2014,494.0
120,07-10-2014,490.0
121,08-10-2014,487.5
122,09-10-2014,490.0
123,10-10-2014,483.5
124,11-10-2014,484.0
125,12-10-2014,484.0
126,13-10-2014,484.0
127,14-10-2014,479.5
128,15-10-2014,475.0
129,16-10-2014,471.0
130,17-10-2014,471.0
131,18-10-2014,469.5
132,19-10-2014,469.5
133,20-10-2014,469.5
134,21-10-2014,470.0
135,22-10-2014,467.0
136,23-10-2014,461.5
137,24-10-2014,461.0
138,25-10-2014,459.0
139,26-10-2014,459.0
140,27-10-2014,459.0
141,28-10-2014,461.0
142,29-10-2014,468.0
143,30-10-2014,469.0
144,31-10-2014,478.0
145,01-11-2014,476.0
146,02-11-2014,476.0
147,03-11-2014,476.0
148,04-11-2014,475.0
149,05-11-2014,475.0
150,06-11-2014,477.5
151,07-11-2014,477.5
152,08-11-2014,483.0
153,09-11-2014,483.0
154,10-11-2014,483.0
155,11-11-2014,478.0
156,12-11-2014,472.5
157,13-11-2014,471.5
158,14-11-2014,473.5
159,15-11-2014,470.0
160,16-11-2014,470.0
161,17-11-2014,470.0
162,18-11-2014,482.0
163,19-11-2014,529.0
164,20-11-2014,523.5
165,21-11-2014,529.5
166,22-11-2014,580.0
167,23-11-2014,580.0
168,24-11-2014,580.0
169,25-11-2014,656.5
170,26-11-2014,759.0
171,27-11-2014,740.0
172,28-11-2014,706.0
173,29-11-2014,755.5
174,30-11-2014,755.5
175,01-12-2014,755.5
176,02-12-2014,879.0
177,03-12-2014,1040.0
178,04-12-2014,1209.0
179,05-12-2014,1055.0
180,06-12-2014,1070.0
181,07-12-2014,1070.0
182,08-12-2014,1070.0
183,09-12-2014,1166.0
184,10-12-2014,1143.5
185,11-12-2014,1070.0
186,12-12-2014,1052.0
187,13-12-2014,999.0
188,14-12-2014,999.0
189,15-12-2014,999.0
190,16-12-2014,1000.0
191,17-12-2014,1015.0
192,18-12-2014,1006.0
193,19-12-2014,975.0
194,20-12-2014,999.5
195,21-12-2014,999.5
196,22-12-2014,999.5
197,23-12-2014,1000.0
198,24-12-2014,1071.5
199,25-12-2014,1105.0
200,26-12-2014,1050.0
201,27-12-2014,1000.0
202,28-12-2014,1000.0
203,29-12-2014,1000.0
204,30-12-2014,997.5
205,31-12-2014,1000.5
206,01-01-2015,1000.5
207,02-01-2015,1000.5
208,03-01-2015,1000.5
209,04-01-2015,1000.5
210,05-01-2015,1000.5
211,06-01-2015,1047.0
212,07-01-2015,1060.0
213,08-01-2015,1060.0
214,09-01-2015,1050.0
215,10-01-2015,1020.0
216,11-01-2015,1020.0
217,12-01-2015,1020.0
218,13-01-2015,1035.5
