,date,rate
0,18-11-2016,
1,19-11-2016,
2,20-11-2016,
3,21-11-2016,
4,22-11-2016,
5,23-11-2016,
6,24-11-2016,
7,25-11-2016,558.0
8,26-11-2016,551.9
9,27-11-2016,551.9
10,28-11-2016,551.9
11,29-11-2016,550.2
12,30-11-2016,556.0
13,01-12-2016,557.3
14,02-12-2016,558.0
15,03-12-2016,559.5
16,04-12-2016,559.5
17,05-12-2016,559.5
18,06-12-2016,555.1
19,07-12-2016,554.5
20,08-12-2016,552.0
21,09-12-2016,551.0
22,10-12-2016,553.0
23,11-12-2016,553.0
24,12-12-2016,553.0
25,13-12-2016,552.4
26,14-12-2016,555.0
27,15-12-2016,555.0
28,16-12-2016,555.2
29,17-12-2016,556.8
30,18-12-2016,556.8
31,19-12-2016,556.8
32,20-12-2016,559.7
33,21-12-2016,559.8
34,22-12-2016,559.9
35,23-12-2016,558.8
36,24-12-2016,559.4
37,25-12-2016,559.4
38,26-12-2016,559.4
39,27-12-2016,559.5
40,28-12-2016,559.6
41,29-12-2016,559.6
42,30-12-2016,558.6
43,31-12-2016,559.2
44,01-01-2017,559.2
45,02-01-2017,559.2
46,03-01-2017,559.2
47,04-01-2017,559.9
48,05-01-2017,559.9
49,06-01-2017,559.1
50,07-01-2017,559.3
51,08-01-2017,559.3
52,09-01-2017,559.3
53,10-01-2017,559.3
54,11-01-2017,559.3
55,12-01-2017,559.6
56,13-01-2017,559.4
57,14-01-2017,559.4
58,15-01-2017,559.4
59,16-01-2017,559.4
60,17-01-2017,559.6
61,18-01-2017,559.3
62,19-01-2017,559.6
63,20-01-2017,559.5
64,21-01-2017,559.4
65,22-01-2017,559.4
66,23-01-2017,559.4
67,24-01-2017,559.5
68,25-01-2017,559.6
69,26-01-2017,560.1
70,27-01-2017,559.3
71,28-01-2017,559.3
72,29-01-2017,559.3
73,30-01-2017,559.3
74,31-01-2017,559.3
75,01-02-2017,559.4
76,02-02-2017,559.4
77,03-02-2017,559.6
78,04-02-2017,559.5
79,05-02-2017,559.5
80,06-02-2017,559.5
81,07-02-2017,559.4
82,08-02-2017,559.9
83,09-02-2017,560.0
84,10-02-2017,559.9
85,11-02-2017,560.0
86,12-02-2017,560.0
87,13-02-2017,560.0
88,14-02-2017,562.4
89,15-02-2017,561.7
90,16-02-2017,560.0
91,17-02-2017,560.0
92,18-02-2017,559.2
93,19-02-2017,559.2
94,20-02-2017,559.2
95,21-02-2017,560.0
96,22-02-2017,560.2
97,23-02-2017,559.7
98,24-02-2017,559.7
99,25-02-2017,559.8
100,26-02-2017,559.8
101,27-02-2017,559.8
102,28-02-2017,559.9
103,01-03-2017,561.2
104,02-03-2017,561.0
105,03-03-2017,560.3
106,04-03-2017,560.6
107,05-03-2017,560.6
108,06-03-2017,560.6
109,07-03-2017,559.7
110,08-03-2017,559.0
111,09-03-2017,559.0
112,10-03-2017,559.2
113,11-03-2017,559.4
114,12-03-2017,559.4
115,13-03-2017,559.4
116,14-03-2017,559.3
117,15-03-2017,558.9
118,16-03-2017,558.2
119,17-03-2017,558.8
120,18-03-2017,558.2
121,19-03-2017,558.2
122,20-03-2017,558.2
123,21-03-2017,557.6
124,22-03-2017,557.4
125,23-03-2017,557.2
126,24-03-2017,558.6
127,25-03-2017,560.7
128,26-03-2017,560.7
129,27-03-2017,560.7
130,28-03-2017,562.1
131,29-03-2017,559.8
132,30-03-2017,562.0
133,31-03-2017,560.8
134,01-04-2017,561.8
135,02-04-2017,561.8
136,03-04-2017,561.8
137,04-04-2017,562.1
138,05-04-2017,560.8
139,06-04-2017,561.0
140,07-04-2017,561.6
141,08-04-2017,561.1
142,09-04-2017,561.1
143,10-04-2017,561.1
144,11-04-2017,559.8
145,12-04-2017,559.6
146,13-04-2017,560.9
147,14-04-2017,560.0
148,15-04-2017,560.2
149,16-04-2017,560.2
150,17-04-2017,560.2
151,18-04-2017,560.3
152,19-04-2017,560.7
153,20-04-2017,561.6
154,21-04-2017,563.5
155,22-04-2017,564.2
156,23-04-2017,564.2
157,24-04-2017,564.2
158,25-04-2017,564.7
159,26-04-2017,568.5
160,27-04-2017,579.7
161,28-04-2017,587.9
162,29-04-2017,587.2
163,30-04-2017,587.2
164,01-05-2017,587.2
165,02-05-2017,587.2
166,03-05-2017,584.6
167,04-05-2017,587.8
168,05-05-2017,585.8
169,06-05-2017,583.8
170,07-05-2017,583.8
171,08-05-2017,583.8
172,09-05-2017,583.8
173,10-05-2017,583.8
174,11-05-2017,584.4
175,12-05-2017,585.3
176,13-05-2017,585.2
177,14-05-2017,585.2
178,15-05-2017,585.2
179,16-05-2017,584.9
180,17-05-2017,583.9
181,18-05-2017,584.6
182,19-05-2017,585.0
183,20-05-2017,584.9
184,21-05-2017,584.9
185,22-05-2017,584.9
186,23-05-2017,574.9
187,24-05-2017,586.5
188,25-05-2017,586.8
189,26-05-2017,586.3
190,27-05-2017,588.3
191,28-05-2017,588.3
192,29-05-2017,588.3
193,30-05-2017,587.1
194,31-05-2017,592.0
195,01-06-2017,599.9
196,02-06-2017,600.0
197,03-06-2017,609.8
198,04-06-2017,609.8
199,05-06-2017,609.8
200,06-06-2017,604.4
201,07-06-2017,600.0
202,08-06-2017,601.2
203,09-06-2017,601.3
204,10-06-2017,601.1
205,11-06-2017,601.1
206,12-06-2017,601.1
207,13-06-2017,601.1
208,14-06-2017,600.7
209,15-06-2017,598.0
210,16-06-2017,576.4
211,17-06-2017,592.3
212,18-06-2017,592.3
213,19-06-2017,592.3
214,20-06-2017,594.7
215,21-06-2017,596.7
216,22-06-2017,596.9
217,23-06-2017,602.0
218,24-06-2017,601.0
219,25-06-2017,601.0
