,date,rate
0,09-06-2014,240.36
1,10-06-2014,242.8
2,11-06-2014,249.66
3,12-06-2014,253.3
4,13-06-2014,253.3
5,14-06-2014,253.3
6,15-06-2014,253.3
7,16-06-2014,253.3
8,17-06-2014,251.59
9,18-06-2014,250.87
10,19-06-2014,249.89
11,20-06-2014,250.11
12,21-06-2014,252.3
13,22-06-2014,252.3
14,23-06-2014,252.3
15,24-06-2014,257.81
16,25-06-2014,250.0
17,26-06-2014,249.24
18,27-06-2014,249.49
19,28-06-2014,249.3
20,29-06-2014,249.3
21,30-06-2014,249.3
22,01-07-2014,250.16
23,02-07-2014,255.19
24,03-07-2014,257.7
25,04-07-2014,253.9
26,05-07-2014,248.99
27,06-07-2014,248.99
28,07-07-2014,248.99
29,08-07-2014,249.99
30,09-07-2014,247.95
31,10-07-2014,244.95
32,11-07-2014,246.01
33,12-07-2014,242.0
34,13-07-2014,242.0
35,14-07-2014,242.0
36,15-07-2014,241.92
37,16-07-2014,244.18
38,17-07-2014,233.7
39,18-07-2014,231.75
40,19-07-2014,225.91
41,20-07-2014,225.91
42,21-07-2014,225.91
43,22-07-2014,226.76
44,23-07-2014,221.8
45,24-07-2014,222.45
46,25-07-2014,220.84
47,26-07-2014,218.21
48,27-07-2014,218.21
49,28-07-2014,218.21
50,29-07-2014,220.3
51,30-07-2014,224.0
52,31-07-2014,223.0
53,01-08-2014,221.79
54,02-08-2014,219.9
55,03-08-2014,219.9
56,04-08-2014,219.9
57,05-08-2014,220.0
58,06-08-2014,219.55
59,07-08-2014,221.0
60,08-08-2014,219.54
61,09-08-2014,221.38
62,10-08-2014,221.38
63,11-08-2014,221.38
64,12-08-2014,221.65
65,13-08-2014,225.99
66,14-08-2014,226.3
67,15-08-2014,225.0
68,16-08-2014,224.68
69,17-08-2014,224.68
70,18-08-2014,224.68
71,19-08-2014,227.4
72,20-08-2014,231.54
73,21-08-2014,233.0
74,22-08-2014,230.03
75,23-08-2014,231.69
76,24-08-2014,231.69
77,25-08-2014,231.69
78,26-08-2014,229.22
79,27-08-2014,231.69
80,28-08-2014,228.99
81,29-08-2014,226.0
82,30-08-2014,229.0
83,31-08-2014,229.0
84,01-09-2014,229.0
85,02-09-2014,230.5
86,03-09-2014,236.13
87,04-09-2014,236.54
88,05-09-2014,238.0
89,06-09-2014,234.02
90,07-09-2014,234.02
91,08-09-2014,234.02
92,09-09-2014,234.55
93,10-09-2014,234.9
94,11-09-2014,230.01
95,12-09-2014,233.2
96,13-09-2014,232.19
97,14-09-2014,232.19
98,15-09-2014,232.19
99,16-09-2014,240.5
100,17-09-2014,237.34
101,18-09-2014,238.76
102,19-09-2014,233.5
103,20-09-2014,230.0
104,21-09-2014,230.0
105,22-09-2014,230.0
106,23-09-2014,232.79
107,24-09-2014,232.36
108,25-09-2014,231.2
109,26-09-2014,232.39
110,27-09-2014,229.0
111,28-09-2014,229.0
112,29-09-2014,229.0
113,30-09-2014,232.0
114,01-10-2014,230.0
115,02-10-2014,226.37
116,03-10-2014,227.73
117,04-10-2014,232.07
118,05-10-2014,232.07
119,06-10-2014,232.07
120,07-10-2014,231.3
121,08-10-2014,227.5
122,09-10-2014,228.47
123,10-10-2014,222.3
124,11-10-2014,225.53
125,12-10-2014,225.53
126,13-10-2014,225.53
127,14-10-2014,230.3
128,15-10-2014,226.61
129,16-10-2014,224.15
130,17-10-2014,228.69
131,18-10-2014,227.2
132,19-10-2014,227.2
133,20-10-2014,227.2
134,21-10-2014,228.24
135,22-10-2014,225.4
136,23-10-2014,224.2
137,24-10-2014,225.88
138,25-10-2014,227.9
139,26-10-2014,227.9
140,27-10-2014,227.9
141,28-10-2014,229.6
142,29-10-2014,233.45
143,30-10-2014,235.96
144,31-10-2014,239.9
145,01-11-2014,240.3
146,02-11-2014,240.3
147,03-11-2014,240.3
148,04-11-2014,239.88
149,05-11-2014,239.88
150,06-11-2014,239.21
151,07-11-2014,239.02
152,08-11-2014,239.86
153,09-11-2014,239.86
154,10-11-2014,239.86
155,11-11-2014,239.34
156,12-11-2014,237.23
157,13-11-2014,231.5
158,14-11-2014,233.79
159,15-11-2014,233.97
160,16-11-2014,233.97
161,17-11-2014,233.97
162,18-11-2014,235.7
163,19-11-2014,235.0
164,20-11-2014,235.8
165,21-11-2014,240.4
166,22-11-2014,237.62
167,23-11-2014,237.62
168,24-11-2014,237.62
169,25-11-2014,237.01
170,26-11-2014,238.0
171,27-11-2014,233.66
172,28-11-2014,233.74
173,29-11-2014,233.5
174,30-11-2014,233.5
175,01-12-2014,233.5
176,02-12-2014,232.75
177,03-12-2014,230.45
178,04-12-2014,228.3
179,05-12-2014,221.95
180,06-12-2014,212.2
181,07-12-2014,212.2
182,08-12-2014,212.2
183,09-12-2014,213.35
184,10-12-2014,213.5
185,11-12-2014,208.0
186,12-12-2014,210.75
187,13-12-2014,201.5
188,14-12-2014,201.5
189,15-12-2014,201.5
190,16-12-2014,200.65
191,17-12-2014,194.65
192,18-12-2014,196.9
193,19-12-2014,194.15
194,20-12-2014,198.9
195,21-12-2014,198.9
196,22-12-2014,198.9
197,23-12-2014,196.65
198,24-12-2014,193.2
199,25-12-2014,195.0
200,26-12-2014,196.75
201,27-12-2014,201.8
202,28-12-2014,201.8
203,29-12-2014,201.8
204,30-12-2014,195.8
205,31-12-2014,196.75
206,01-01-2015,196.75
207,02-01-2015,196.75
