,date,rate
0,25-03-2013,98.79
1,26-03-2013,97.2
2,27-03-2013,96.75
3,28-03-2013,98.59
4,29-03-2013,98.76
5,30-03-2013,98.07
6,31-03-2013,98.07
7,01-04-2013,98.07
8,02-04-2013,98.93
9,03-04-2013,99.59
10,04-04-2013,99.91
11,05-04-2013,99.38
12,06-04-2013,100.43
13,07-04-2013,100.43
14,08-04-2013,100.43
15,09-04-2013,102.53
16,10-04-2013,100.56
17,11-04-2013,100.31
18,12-04-2013,98.34
19,13-04-2013,95.48
20,14-04-2013,95.48
21,15-04-2013,95.48
22,16-04-2013,95.92
23,17-04-2013,94.58
24,18-04-2013,95.35
25,19-04-2013,96.22
26,20-04-2013,95.1
27,21-04-2013,95.1
28,22-04-2013,95.1
29,23-04-2013,96.46
30,24-04-2013,97.89
31,25-04-2013,96.11
32,26-04-2013,95.6
33,27-04-2013,94.83
34,28-04-2013,94.83
35,29-04-2013,94.83
36,30-04-2013,99.3
37,01-05-2013,100.84
38,02-05-2013,100.84
39,03-05-2013,102.92
40,04-05-2013,102.28
41,05-05-2013,102.28
42,06-05-2013,102.28
43,07-05-2013,105.14
44,08-05-2013,105.81
45,09-05-2013,103.78
46,10-05-2013,103.78
47,11-05-2013,103.34
48,12-05-2013,103.34
49,13-05-2013,103.34
50,14-05-2013,103.84
51,15-05-2013,103.22
52,16-05-2013,102.45
53,17-05-2013,105.17
54,18-05-2013,106.49
55,19-05-2013,106.49
56,20-05-2013,106.49
57,21-05-2013,108.9
58,22-05-2013,110.73
59,23-05-2013,105.61
60,24-05-2013,102.97
61,25-05-2013,102.86
62,26-05-2013,102.86
63,27-05-2013,102.86
64,28-05-2013,104.0
65,29-05-2013,99.9
66,30-05-2013,99.98
67,31-05-2013,99.0
68,01-06-2013,98.8
69,02-06-2013,98.8
70,03-06-2013,98.8
71,04-06-2013,98.71
72,05-06-2013,97.5
73,06-06-2013,96.91
74,07-06-2013,98.92
75,08-06-2013,97.9
76,09-06-2013,97.9
77,10-06-2013,97.9
78,11-06-2013,94.7
79,12-06-2013,91.85
80,13-06-2013,91.85
81,14-06-2013,93.64
82,15-06-2013,95.74
83,16-06-2013,95.74
84,17-06-2013,95.74
85,18-06-2013,96.36
86,19-06-2013,94.63
87,20-06-2013,91.56
88,21-06-2013,91.24
89,22-06-2013,88.66
90,23-06-2013,88.66
91,24-06-2013,88.66
92,25-06-2013,89.74
93,26-06-2013,92.67
94,27-06-2013,93.2
95,28-06-2013,93.5
96,29-06-2013,95.4
97,30-06-2013,95.4
98,01-07-2013,95.4
99,02-07-2013,94.59
100,03-07-2013,93.18
101,04-07-2013,94.0
102,05-07-2013,93.3
103,06-07-2013,93.0
104,07-07-2013,93.0
