,date,rate
0,28-10-2019,1206.0
1,29-10-2019,1219.8
2,30-10-2019,1217.0
3,31-10-2019,1216.0
4,01-11-2019,1214.0
5,02-11-2019,1198.0
6,03-11-2019,1198.0
7,04-11-2019,1198.0
8,05-11-2019,1198.0
9,06-11-2019,1208.6
10,07-11-2019,1225.8
11,08-11-2019,1222.8
12,09-11-2019,1222.0
13,10-11-2019,1222.0
14,11-11-2019,1222.0
15,12-11-2019,1235.6
16,13-11-2019,1239.4
17,14-11-2019,1261.2
18,15-11-2019,1250.0
19,16-11-2019,1255.0
20,17-11-2019,1255.0
21,18-11-2019,1255.0
22,19-11-2019,1241.0
23,20-11-2019,1215.8
24,21-11-2019,1210.8
25,22-11-2019,1202.0
26,23-11-2019,1206.0
27,24-11-2019,1206.0
28,25-11-2019,1206.0
29,26-11-2019,1199.4
30,27-11-2019,1203.0
31,28-11-2019,1194.2
32,29-11-2019,1185.8
33,30-11-2019,1176.4
34,01-12-2019,1176.4
35,02-12-2019,1176.4
36,03-12-2019,1133.0
37,04-12-2019,1140.0
38,05-12-2019,1167.8
39,06-12-2019,1186.2
40,07-12-2019,1228.4
41,08-12-2019,1228.4
42,09-12-2019,1228.4
43,10-12-2019,1238.8
44,11-12-2019,1234.8
45,12-12-2019,1235.0
46,13-12-2019,1257.2
47,14-12-2019,1300.0
48,15-12-2019,1300.0
49,16-12-2019,1300.0
50,17-12-2019,1299.6
51,18-12-2019,1322.4
52,19-12-2019,1340.0
53,20-12-2019,1285.6
54,21-12-2019,1304.6
55,22-12-2019,1304.6
56,23-12-2019,1304.6
57,24-12-2019,1310.0
58,25-12-2019,1313.8
59,26-12-2019,1305.0
60,27-12-2019,1308.6
61,28-12-2019,1311.2
62,29-12-2019,1311.2
63,30-12-2019,1311.2
64,31-12-2019,1332.4
65,01-01-2020,1332.4
66,02-01-2020,1332.4
67,03-01-2020,1332.4
68,04-01-2020,1322.8
69,05-01-2020,1322.8
70,06-01-2020,1322.8
71,07-01-2020,1350.2
72,08-01-2020,1350.2
73,09-01-2020,1366.8
74,10-01-2020,1398.4
75,11-01-2020,1426.4
76,12-01-2020,1426.4
77,13-01-2020,1426.4
78,14-01-2020,1426.4
79,15-01-2020,1453.8
80,16-01-2020,1452.0
81,17-01-2020,1465.2
82,18-01-2020,1473.2
83,19-01-2020,1473.2
