,date,rate
0,25-03-2013,0.05043
1,26-03-2013,0.0494
2,27-03-2013,0.04821
3,28-03-2013,0.04979
4,29-03-2013,0.04987
5,30-03-2013,0.04924
6,31-03-2013,0.04924
7,01-04-2013,0.04924
8,02-04-2013,0.04915
9,03-04-2013,0.04825
10,04-04-2013,0.04726
11,05-04-2013,0.04693
12,06-04-2013,0.04755
13,07-04-2013,0.04755
14,08-04-2013,0.04755
15,09-04-2013,0.04921
16,10-04-2013,0.04813
17,11-04-2013,0.04792
18,12-04-2013,0.04696
19,13-04-2013,0.04565
20,14-04-2013,0.04565
21,15-04-2013,0.04565
22,16-04-2013,0.04536
23,17-04-2013,0.04389
24,18-04-2013,0.04352
25,19-04-2013,0.0438
26,20-04-2013,0.04431
27,21-04-2013,0.04431
28,22-04-2013,0.04431
29,23-04-2013,0.04588
30,24-04-2013,0.0456
31,25-04-2013,0.0451
32,26-04-2013,0.04546
33,27-04-2013,0.04728
34,28-04-2013,0.04728
35,29-04-2013,0.04728
36,30-04-2013,0.04974
37,01-05-2013,0.04886
38,02-05-2013,0.04886
39,03-05-2013,0.0491
40,04-05-2013,0.04931
41,05-05-2013,0.04931
42,06-05-2013,0.04931
43,07-05-2013,0.05065
44,08-05-2013,0.05085
45,09-05-2013,0.04989
46,10-05-2013,0.04989
47,11-05-2013,0.04722
48,12-05-2013,0.04722
49,13-05-2013,0.04722
50,14-05-2013,0.0459
51,15-05-2013,0.0454
52,16-05-2013,0.04434
53,17-05-2013,0.04492
54,18-05-2013,0.04652
55,19-05-2013,0.04652
56,20-05-2013,0.04652
57,21-05-2013,0.04805
58,22-05-2013,0.04951
59,23-05-2013,0.04784
60,24-05-2013,0.04661
61,25-05-2013,0.04655
62,26-05-2013,0.04655
63,27-05-2013,0.04655
64,28-05-2013,0.04761
65,29-05-2013,0.04594
66,30-05-2013,0.04583
67,31-05-2013,0.04633
68,01-06-2013,0.04674
69,02-06-2013,0.04674
70,03-06-2013,0.04674
71,04-06-2013,0.04802
72,05-06-2013,0.0472
73,06-06-2013,0.04665
74,07-06-2013,0.04763
75,08-06-2013,0.0477
76,09-06-2013,0.0477
77,10-06-2013,0.0477
78,11-06-2013,0.04749
79,12-06-2013,0.04649
80,13-06-2013,0.04649
81,14-06-2013,0.0475
82,15-06-2013,0.04817
83,16-06-2013,0.04817
84,17-06-2013,0.04817
85,18-06-2013,0.04895
86,19-06-2013,0.04869
87,20-06-2013,0.04692
88,21-06-2013,0.0478
89,22-06-2013,0.04704
90,23-06-2013,0.04704
91,24-06-2013,0.04704
92,25-06-2013,0.04803
93,26-06-2013,0.04911
94,27-06-2013,0.04752
95,28-06-2013,0.04696
96,29-06-2013,0.04725
97,30-06-2013,0.04725
98,01-07-2013,0.04725
99,02-07-2013,0.0474
100,03-07-2013,0.04695
101,04-07-2013,0.04735
102,05-07-2013,0.04761
103,06-07-2013,0.04719
104,07-07-2013,0.04719
105,08-07-2013,0.04719
106,09-07-2013,0.04698
107,10-07-2013,0.04565
108,11-07-2013,0.04699
109,12-07-2013,0.047
110,13-07-2013,0.04727
111,14-07-2013,0.04727
112,15-07-2013,0.04727
113,16-07-2013,0.0472
114,17-07-2013,0.04777
115,18-07-2013,0.04685
116,19-07-2013,0.04691
117,20-07-2013,0.04693
118,21-07-2013,0.04693
119,22-07-2013,0.04693
120,23-07-2013,0.04673
121,24-07-2013,0.04668
122,25-07-2013,0.04656
123,26-07-2013,0.04704
124,27-07-2013,0.04704
125,28-07-2013,0.04704
126,29-07-2013,0.04704
127,30-07-2013,0.0466
128,31-07-2013,0.04658
129,01-08-2013,0.04694
130,02-08-2013,0.04686
131,03-08-2013,0.04641
132,04-08-2013,0.04641
133,05-08-2013,0.04641
134,06-08-2013,0.0462
135,07-08-2013,0.04608
136,08-08-2013,0.04543
137,09-08-2013,0.04583
138,10-08-2013,0.04655
139,11-08-2013,0.04655
140,12-08-2013,0.04655
141,13-08-2013,0.04745
142,14-08-2013,0.04756
143,15-08-2013,0.04712
144,16-08-2013,0.04706
145,17-08-2013,0.0471
146,18-08-2013,0.0471
147,19-08-2013,0.0471
148,20-08-2013,0.04668
149,21-08-2013,0.04571
150,22-08-2013,0.04601
151,23-08-2013,0.04574
152,24-08-2013,0.0457
153,25-08-2013,0.0457
154,26-08-2013,0.0457
155,27-08-2013,0.04533
156,28-08-2013,0.0453
157,29-08-2013,0.04521
158,30-08-2013,0.04459
159,31-08-2013,0.04455
160,01-09-2013,0.04455
161,02-09-2013,0.04455
162,03-09-2013,0.0448
163,04-09-2013,0.04474
164,05-09-2013,0.04549
165,06-09-2013,0.04417
166,07-09-2013,0.04435
167,08-09-2013,0.04435
168,09-09-2013,0.04435
169,10-09-2013,0.04451
170,11-09-2013,0.04451
171,12-09-2013,0.04422
