,date,rate
0,04-06-2014,1170.0
1,05-06-2014,1145.1
2,06-06-2014,1163.0
3,07-06-2014,1172.1
4,08-06-2014,1172.1
5,09-06-2014,1172.1
6,10-06-2014,1170.0
7,11-06-2014,1179.9
8,12-06-2014,1165.0
9,13-06-2014,1165.0
10,14-06-2014,1165.0
11,15-06-2014,1165.0
12,16-06-2014,1165.0
13,17-06-2014,1185.5
14,18-06-2014,1182.9
15,19-06-2014,1168.0
16,20-06-2014,1175.0
17,21-06-2014,1196.0
18,22-06-2014,1196.0
19,23-06-2014,1196.0
20,24-06-2014,1191.8
21,25-06-2014,1176.8
22,26-06-2014,1185.0
23,27-06-2014,1185.0
24,28-06-2014,1218.0
25,29-06-2014,1218.0
26,30-06-2014,1218.0
27,01-07-2014,1218.2
28,02-07-2014,1200.0
29,03-07-2014,1192.0
30,04-07-2014,1186.0
31,05-07-2014,1160.0
32,06-07-2014,1160.0
33,07-07-2014,1160.0
34,08-07-2014,1113.4
35,09-07-2014,1094.0
36,10-07-2014,1077.8
37,11-07-2014,1099.3
38,12-07-2014,1118.9
39,13-07-2014,1118.9
40,14-07-2014,1118.9
41,15-07-2014,1114.3
42,16-07-2014,1106.5
43,17-07-2014,1088.0
44,18-07-2014,1072.3
45,19-07-2014,1047.5
46,20-07-2014,1047.5
47,21-07-2014,1047.5
48,22-07-2014,1060.0
49,23-07-2014,1056.2
50,24-07-2014,1077.8
51,25-07-2014,1075.1
52,26-07-2014,1055.0
53,27-07-2014,1055.0
54,28-07-2014,1055.0
55,29-07-2014,1116.0
56,30-07-2014,1120.0
57,31-07-2014,1087.7
58,01-08-2014,1062.2
59,02-08-2014,1089.5
60,03-08-2014,1089.5
61,04-08-2014,1089.5
62,05-08-2014,1094.6
63,06-08-2014,1060.1
64,07-08-2014,1054.5
65,08-08-2014,1033.5
66,09-08-2014,1053.0
67,10-08-2014,1053.0
68,11-08-2014,1053.0
69,12-08-2014,1052.1
70,13-08-2014,1054.6
71,14-08-2014,1053.1
72,15-08-2014,1041.0
73,16-08-2014,1032.0
74,17-08-2014,1032.0
75,18-08-2014,1032.0
76,19-08-2014,1089.0
77,20-08-2014,1109.7
78,21-08-2014,1089.2
79,22-08-2014,1050.0
80,23-08-2014,1061.6
81,24-08-2014,1061.6
82,25-08-2014,1061.6
83,26-08-2014,1056.0
84,27-08-2014,1062.1
85,28-08-2014,1055.0
86,29-08-2014,1050.0
87,30-08-2014,1055.5
88,31-08-2014,1055.5
89,01-09-2014,1055.5
90,02-09-2014,1087.6
91,03-09-2014,1116.8
92,04-09-2014,1119.0
93,05-09-2014,1159.6
94,06-09-2014,1173.7
95,07-09-2014,1173.7
96,08-09-2014,1173.7
97,09-09-2014,1157.3
98,10-09-2014,1149.0
99,11-09-2014,1149.9
100,12-09-2014,1173.7
101,13-09-2014,1230.0
102,14-09-2014,1230.0
103,15-09-2014,1230.0
104,16-09-2014,1176.8
105,17-09-2014,1174.1
106,18-09-2014,1164.1
107,19-09-2014,1148.5
108,20-09-2014,1135.2
109,21-09-2014,1135.2
110,22-09-2014,1135.2
111,23-09-2014,1125.0
112,24-09-2014,1130.0
113,25-09-2014,1154.0
114,26-09-2014,1162.0
115,27-09-2014,1131.3
116,28-09-2014,1131.3
117,29-09-2014,1131.3
118,30-09-2014,1130.7
119,01-10-2014,1091.0
120,02-10-2014,1035.0
121,03-10-2014,1078.0
122,04-10-2014,1082.0
123,05-10-2014,1082.0
124,06-10-2014,1082.0
125,07-10-2014,1069.0
126,08-10-2014,1036.0
127,09-10-2014,1037.0
128,10-10-2014,1011.0
129,11-10-2014,996.0
130,12-10-2014,996.0
131,13-10-2014,996.0
132,14-10-2014,1050.0
133,15-10-2014,1015.0
134,16-10-2014,1035.0
135,17-10-2014,1077.0
136,18-10-2014,1072.0
137,19-10-2014,1072.0
138,20-10-2014,1072.0
139,21-10-2014,1096.0
140,22-10-2014,1125.0
141,23-10-2014,1155.0
142,24-10-2014,1142.0
143,25-10-2014,1153.0
144,26-10-2014,1153.0
145,27-10-2014,1153.0
146,28-10-2014,1196.0
147,29-10-2014,1208.0
148,30-10-2014,1174.0
149,31-10-2014,1213.0
150,01-11-2014,1233.0
151,02-11-2014,1233.0
152,03-11-2014,1233.0
153,04-11-2014,1214.0
154,05-11-2014,1214.0
155,06-11-2014,1229.0
156,07-11-2014,1233.0
157,08-11-2014,1214.0
158,09-11-2014,1214.0
159,10-11-2014,1214.0
160,11-11-2014,1221.0
161,12-11-2014,1221.0
162,13-11-2014,1230.0
163,14-11-2014,1224.0
164,15-11-2014,1230.0
165,16-11-2014,1230.0
166,17-11-2014,1230.0
167,18-11-2014,1224.0
168,19-11-2014,1206.0
169,20-11-2014,1209.0
170,21-11-2014,1226.0
171,22-11-2014,1183.0
172,23-11-2014,1183.0
173,24-11-2014,1183.0
174,25-11-2014,1208.0
175,26-11-2014,1235.0
176,27-11-2014,1230.0
177,28-11-2014,1238.0
178,29-11-2014,1244.0
179,30-11-2014,1244.0
180,01-12-2014,1244.0
181,02-12-2014,1283.0
182,03-12-2014,1280.0
183,04-12-2014,1236.0
184,05-12-2014,1149.0
185,06-12-2014,1090.0
186,07-12-2014,1090.0
187,08-12-2014,1090.0
188,09-12-2014,1075.0
189,10-12-2014,1088.0
190,11-12-2014,1055.0
191,12-12-2014,1133.0
192,13-12-2014,1127.0
193,14-12-2014,1127.0
194,15-12-2014,1127.0
195,16-12-2014,1131.0
196,17-12-2014,1096.0
197,18-12-2014,1100.0
198,19-12-2014,1063.0
199,20-12-2014,1000.0
200,21-12-2014,1000.0
201,22-12-2014,1000.0
202,23-12-2014,1013.0
203,24-12-2014,996.0
204,25-12-2014,1038.0
205,26-12-2014,991.0
206,27-12-2014,1028.0
207,28-12-2014,1028.0
208,29-12-2014,1028.0
209,30-12-2014,1025.0
210,31-12-2014,1079.0
211,01-01-2015,1079.0
212,02-01-2015,1079.0
213,03-01-2015,1079.0
214,04-01-2015,1079.0
215,05-01-2015,1079.0
216,06-01-2015,1092.0
217,07-01-2015,1094.0
218,08-01-2015,1094.0
219,09-01-2015,1098.0
220,10-01-2015,1113.0
221,11-01-2015,1113.0
222,12-01-2015,1113.0
223,13-01-2015,1153.0
224,14-01-2015,1177.0
225,15-01-2015,1175.0
226,16-01-2015,1165.0
227,17-01-2015,1165.0
228,18-01-2015,1165.0
229,19-01-2015,1165.0
230,20-01-2015,1122.0
231,21-01-2015,1083.0
232,22-01-2015,1106.0
233,23-01-2015,1117.0
234,24-01-2015,1121.0
235,25-01-2015,1121.0
236,26-01-2015,1121.0
237,27-01-2015,1095.0
238,28-01-2015,1081.0
239,29-01-2015,1075.0
240,30-01-2015,1075.0
241,31-01-2015,998.0
242,01-02-2015,998.0
243,02-02-2015,998.0
244,03-02-2015,997.0
245,04-02-2015,1050.0
246,05-02-2015,1090.0
247,06-02-2015,1084.0
248,07-02-2015,1078.0
249,08-02-2015,1078.0
250,09-02-2015,1078.0
251,10-02-2015,1045.0
252,11-02-2015,1037.0
253,12-02-2015,1071.0
254,13-02-2015,1115.0
255,14-02-2015,1070.0
256,15-02-2015,1070.0
257,16-02-2015,1070.0
258,17-02-2015,1030.0
259,18-02-2015,1084.0
260,19-02-2015,1049.0
261,20-02-2015,1053.0
262,21-02-2015,1038.0
263,22-02-2015,1038.0
264,23-02-2015,1038.0
265,24-02-2015,1038.0
266,25-02-2015,1025.0
267,26-02-2015,1009.0
268,27-02-2015,1016.0
269,28-02-2015,1000.0
270,01-03-2015,1000.0
271,02-03-2015,1000.0
272,03-03-2015,1000.0
273,04-03-2015,996.0
274,05-03-2015,970.0
275,06-03-2015,932.0
276,07-03-2015,885.0
277,08-03-2015,885.0
278,09-03-2015,885.0
279,10-03-2015,885.0
280,11-03-2015,898.0
281,12-03-2015,894.0
282,13-03-2015,880.0
283,14-03-2015,878.0
284,15-03-2015,878.0
285,16-03-2015,878.0
286,17-03-2015,889.0
287,18-03-2015,877.0
288,19-03-2015,874.0
289,20-03-2015,866.0
290,21-03-2015,874.0
291,22-03-2015,874.0
292,23-03-2015,874.0
293,24-03-2015,866.0
294,25-03-2015,885.0
295,26-03-2015,880.0
296,27-03-2015,883.0
297,28-03-2015,887.0
298,29-03-2015,887.0
299,30-03-2015,887.0
300,31-03-2015,893.0
301,01-04-2015,902.0
302,02-04-2015,919.0
303,03-04-2015,940.0
304,04-04-2015,934.0
305,05-04-2015,934.0
306,06-04-2015,934.0
307,07-04-2015,942.0
308,08-04-2015,946.0
309,09-04-2015,939.0
310,10-04-2015,940.0
311,11-04-2015,941.0
312,12-04-2015,941.0
313,13-04-2015,941.0
314,14-04-2015,910.0
315,15-04-2015,973.0
316,16-04-2015,1028.0
317,17-04-2015,1053.0
318,18-04-2015,1054.0
319,19-04-2015,1054.0
320,20-04-2015,1054.0
321,21-04-2015,1091.0
322,22-04-2015,1081.0
323,23-04-2015,1076.0
324,24-04-2015,1052.0
325,25-04-2015,1070.0
326,26-04-2015,1070.0
327,27-04-2015,1070.0
328,28-04-2015,986.0
329,29-04-2015,997.0
330,30-04-2015,1001.0
331,01-05-2015,985.0
332,02-05-2015,985.0
333,03-05-2015,985.0
334,04-05-2015,985.0
335,05-05-2015,985.0
336,06-05-2015,1006.0
337,07-05-2015,968.0
338,08-05-2015,979.0
339,09-05-2015,979.0
340,10-05-2015,979.0
341,11-05-2015,979.0
342,12-05-2015,979.0
343,13-05-2015,944.0
344,14-05-2015,971.0
345,15-05-2015,950.0
346,16-05-2015,944.0
347,17-05-2015,944.0
348,18-05-2015,944.0
349,19-05-2015,939.0
350,20-05-2015,926.0
351,21-05-2015,935.0
352,22-05-2015,928.0
353,23-05-2015,928.0
354,24-05-2015,928.0
355,25-05-2015,928.0
356,26-05-2015,923.0
357,27-05-2015,919.0
358,28-05-2015,950.0
359,29-05-2015,941.0
360,30-05-2015,950.0
361,31-05-2015,950.0
362,01-06-2015,950.0
363,02-06-2015,997.0
364,03-06-2015,980.0
365,04-06-2015,993.0
366,05-06-2015,976.0
367,06-06-2015,977.0
368,07-06-2015,977.0
369,08-06-2015,977.0
370,09-06-2015,965.0
371,10-06-2015,950.0
372,11-06-2015,950.0
373,12-06-2015,946.0
374,13-06-2015,946.0
375,14-06-2015,946.0
376,15-06-2015,946.0
377,16-06-2015,927.0
378,17-06-2015,930.0
379,18-06-2015,906.0
380,19-06-2015,910.0
381,20-06-2015,881.0
382,21-06-2015,881.0
383,22-06-2015,881.0
384,23-06-2015,871.0
385,24-06-2015,871.0
386,25-06-2015,866.0
387,26-06-2015,855.0
388,27-06-2015,842.0
389,28-06-2015,842.0
390,29-06-2015,842.0
391,30-06-2015,848.0
392,01-07-2015,853.0
393,02-07-2015,853.0
394,03-07-2015,857.0
395,04-07-2015,860.0
396,05-07-2015,860.0
397,06-07-2015,860.0
398,07-07-2015,820.0
399,08-07-2015,845.0
400,09-07-2015,855.0
401,10-07-2015,845.0
402,11-07-2015,857.0
403,12-07-2015,857.0
404,13-07-2015,857.0
405,14-07-2015,880.0
406,15-07-2015,875.0
407,16-07-2015,873.0
408,17-07-2015,900.0
409,18-07-2015,891.0
410,19-07-2015,891.0
411,20-07-2015,891.0
412,21-07-2015,889.0
413,22-07-2015,865.0
414,23-07-2015,879.0
415,24-07-2015,867.0
416,25-07-2015,860.0
417,26-07-2015,860.0
418,27-07-2015,860.0
419,28-07-2015,883.0
420,29-07-2015,903.0
421,30-07-2015,898.0
422,31-07-2015,882.0
423,01-08-2015,866.0
424,02-08-2015,866.0
425,03-08-2015,866.0
426,04-08-2015,869.0
427,05-08-2015,878.0
428,06-08-2015,850.0
429,07-08-2015,860.0
430,08-08-2015,858.0
431,09-08-2015,858.0
432,10-08-2015,858.0
433,11-08-2015,851.0
434,12-08-2015,830.0
435,13-08-2015,839.0
436,14-08-2015,831.0
437,15-08-2015,835.0
438,16-08-2015,835.0
439,17-08-2015,835.0
440,18-08-2015,819.0
441,19-08-2015,799.0
442,20-08-2015,780.0
443,21-08-2015,770.0
444,22-08-2015,738.0
445,23-08-2015,738.0
446,24-08-2015,738.0
447,25-08-2015,764.0
448,26-08-2015,742.0
449,27-08-2015,776.0
450,28-08-2015,800.0
451,29-08-2015,805.0
452,30-08-2015,805.0
453,31-08-2015,805.0
454,01-09-2015,782.0
455,02-09-2015,780.0
456,03-09-2015,795.0
457,04-09-2015,790.0
458,05-09-2015,786.0
459,06-09-2015,786.0
460,07-09-2015,786.0
461,08-09-2015,786.0
462,09-09-2015,787.0
463,10-09-2015,773.0
464,11-09-2015,760.0
465,12-09-2015,809.0
466,13-09-2015,809.0
467,14-09-2015,809.0
468,15-09-2015,815.0
469,16-09-2015,862.0
470,17-09-2015,860.0
